Ident, Complex G, Host G, Ligand G, Exp DeltaG, Calculated DeltaG, Error, Abs Error, Converged, Crashed
CD_guest-1,549.027557323,537.274852313,14.6471187289,-1.575,-2.8944137189,-1.3194137189,1.3194137189,yes,no
CD_guest-2,567.139601117,537.274852313,36.6513151211,-3.533,-6.7865663171,-3.2535663171,3.2535663171,yes,no
CD_guest-3,583.313546619,537.274852313,56.3928133799,-4.606,-10.3541190739,-5.7481190739,5.7481190739,yes,no
CD_guest-4,554.876224576,537.274852313,29.6127612936,-2.130,-12.0113890306,-9.8813890306,9.8813890306,yes,no
CD_guest-5,572.059191859,537.274852313,45.8552251845,-2.510,-11.0708856385,-8.5608856385,8.5608856385,yes,no
CD_guest-6,481.943994617,537.274852313,-44.8286131493,-1.506,-10.5022445467,-8.9962445467,8.9962445467,yes,no
CD_guest-7,497.107057379,537.274852313,-26.6813039404,-3.380,-13.4864909936,-10.1064909936,10.1064909936,yes,no
CD_guest-8,513.954924816,537.274852313,-8.8396496889,-4.622,-14.4802778081,-9.8582778081,9.8582778081,yes,no
CD_guest-s10,534.197753736,537.274852313,2.1715040392,-1.764,-5.2486026162,-3.4846026162,3.4846026162,yes,no
CD_guest-s11,556.68017663,537.274852313,25.9938242981,-2.720,-6.5884999811,-3.8684999811,3.8684999811,yes,no
CD_guest-s12,604.102191759,537.274852313,73.8661892684,-3.516,-7.0388498224,-3.5228498224,3.5228498224,yes,no
CD_guest-s13,553.143073824,537.274852313,22.6534299334,-3.604,-6.7852084224,-3.1812084224,3.1812084224,yes,no
CD_guest-s14,572.452239247,537.274852313,46.73365005,-4.137,-11.556263116,-7.419263116,7.419263116,yes,no
CD_guest-s15,559.626526591,537.274852313,32.3519304771,-4.166,-10.0002561991,-5.8342561991,5.8342561991,yes,no
CD_guest-s16,544.049936129,537.274852313,15.8749270583,-2.022,-9.0998432423,-7.0778432423,7.0778432423,yes,no
CD_guest-s17,587.087339739,537.274852313,60.2698517677,-3.227,-10.4573643417,-7.2303643417,7.2303643417,yes,no
CD_guest-s18,488.771586867,537.274852313,-35.9927849325,-2.596,-12.5104805135,-9.9144805135,9.9144805135,yes,no
CD_guest-s19,494.611948212,537.274852313,-29.8681415752,-3.344,-12.7947625258,-9.4507625258,9.4507625258,yes,no
CD_guest-s20,497.612855805,537.274852313,-27.8213144079,-3.011,-11.8406821001,-8.8296821001,8.8296821001,yes,no
CD_guest-s21,506.197821186,537.274852313,-17.6680452344,-3.991,-13.4089858926,-9.4179858926,9.4179858926,yes,no
CD_guest-s22,500.372421907,537.274852313,-23.0756373904,-3.597,-13.8267930156,-10.2297930156,10.2297930156,yes,no
CD_guest-s9,585.379225294,537.274852313,52.7516470305,-1.685,-4.6472740495,-2.9622740495,2.9622740495,yes,no
