run, type, Ident, FE, AvgE, S, U, W, HO_PE, PB, SA, Valence, Coulomb, VdW, VdW6, VdW12, Bond, Angle, Pdihed, Idihed, Tether, RunTime, WallTime, Converged, Crashed
fast_vm2_rndm,complex,CD_guest-1,549.027557323,362.824834566,186.202722757,327.225764027,-90.4886422873,126.088249163,-96.5441588798,6.0555165925,146.20198484,201.823816874,-20.800037687,-171.77045238,150.970414693,4.6947464024,12.1169964762,129.390241961,0.0,0.0,4202.69,2055.65,yes,no
fast_vm2_rndm,complex,CD_guest-2,567.139601117,370.475576156,196.664024961,329.67312211,-90.6512231132,131.453706574,-96.7264376509,6.0752145378,147.004040909,208.505122698,-25.8360414971,-180.576888282,154.740846785,4.6635122862,12.0033167288,130.337211894,0.0,0.0,4287.29,1953.3,yes,no
fast_vm2_rndm,complex,CD_guest-3,583.313546619,376.040403303,207.273143317,322.809482797,-83.5879375549,136.819163985,-89.7751549783,6.1872174233,147.78283478,202.426877313,-27.4002292964,-185.290740379,157.890511082,4.6121460136,11.5779347126,131.592754054,0.0,0.0,4296.79,2159.61,yes,no
fast_vm2_rndm,complex,CD_guest-4,554.876224576,371.70718141,183.169043166,285.116387741,-38.6031282643,125.194006261,-44.7062724398,6.1031441755,157.577592426,150.858105175,-23.3193098595,-171.55920093,148.239891071,4.503321949,14.4397413453,138.634529132,0.0,0.0,4178.7,2165.6,yes,no
fast_vm2_rndm,complex,CD_guest-5,572.059191859,377.473108403,194.586083456,283.670325262,-36.756897933,130.559463672,-42.8494495272,6.0925515942,158.068437528,151.641190298,-26.0393025647,-182.642181954,156.602879389,4.6380749429,14.1115617216,139.318800864,0.0,0.0,4707.78,2223.68,yes,no
fast_vm2_rndm,complex,CD_guest-6,481.943994617,305.312622058,176.631372559,255.712046153,-72.9102668105,122.511277556,-78.876812815,5.9665460044,149.977268926,127.836414138,-22.1016369112,-178.849673193,156.748036281,5.1386082675,15.1573714532,129.669746814,0.0115423912,0.0,5023.09,2349.42,yes,no
fast_vm2_rndm,complex,CD_guest-7,497.107057379,310.633161313,186.473896066,263.049501711,-80.2929537194,127.876734967,-86.3216337969,6.0286800775,151.743228014,136.626457552,-25.3201838556,-184.594711589,159.274527733,4.908537949,14.4778928832,132.354908398,0.0018887839,0.0,4363.16,2199.7,yes,no
fast_vm2_rndm,complex,CD_guest-8,513.954924816,317.679331257,196.275593558,261.260674182,-76.8235487501,133.242192378,-82.942121559,6.1185728089,153.678890873,135.596161987,-28.0143786772,-190.413509825,162.399131147,4.9425987795,14.3238315578,134.405208083,0.0072524518,0.0,4944.33,2392.22,yes,no
fast_vm2_rndm,complex,CD_guest-s10,534.197753736,341.507128281,192.690625455,302.097582794,-89.3664182117,128.770977869,-95.4218251413,6.0554069296,147.664499099,178.202979353,-23.7698956582,-176.943937239,153.174041581,4.6076730139,12.0227304148,131.034095671,0.0,0.0,4056.32,2046.65,yes,no
fast_vm2_rndm,complex,CD_guest-s11,556.68017663,365.49921597,191.18096066,327.715166004,-90.9870315042,128.770977869,-97.0124999343,6.0254684302,145.963247709,205.229783048,-23.477864753,-176.401618252,152.923753499,4.7441364278,12.548312774,128.670798507,0.0,0.0,4038.54,1902.65,yes,no
