run, type, Ident, FE, AvgE, S, U, W, HO_PE, PB, SA, Valence, Coulomb, VdW, VdW6, VdW12, Bond, Angle, Pdihed, Idihed, Tether, RunTime, WallTime, Converged, Crashed
fast_vm2_single,complex,CD_guest-1,552.761521215,364.360177877,188.401343338,327.458791526,-89.1867651114,126.088249163,-95.2459049727,6.0591398614,147.156234626,200.868801165,-20.5662442645,-173.562946719,152.996702454,4.8339116069,13.0263402875,129.295982731,0.0,0.0,105.23,46.65,yes,no
fast_vm2_single,complex,CD_guest-2,572.770540058,375.070745719,197.699794339,328.877967276,-85.2610121817,131.453706574,-91.3611249013,6.1001127196,147.004225757,206.123424249,-24.2496827304,-178.570678262,154.320995531,4.6879249934,12.2261090619,130.090191702,0.0,0.0,78.64,39.07,yes,no
fast_vm2_single,complex,CD_guest-3,586.405277624,378.842693123,207.562584501,326.898448617,-84.8751932006,136.819163985,-91.1017494919,6.2265562912,147.294952392,206.208037058,-26.6045408329,-184.268457101,157.663916268,4.7804498852,12.2385424515,130.275960055,0.0,0.0,130.98,65.03,yes,no
fast_vm2_single,complex,CD_guest-4,558.976429973,374.527139617,184.449290356,290.034313913,-40.7011605116,125.194006261,-46.6908215561,5.9896610444,159.118298147,156.590628452,-25.674612686,-172.68342028,147.008807594,4.5375262755,15.5295602219,139.05121165,0.0,0.0,59.75,29.36,yes,no
fast_vm2_single,complex,CD_guest-5,578.664572515,384.74731426,193.917258255,293.200119858,-39.0122260887,130.559463672,-44.9506351298,5.938409041,162.155842554,158.827494878,-27.7832175735,-183.282381512,155.499163939,4.6678097058,14.0417423618,143.446290486,0.0,0.0,53.86,24.19,yes,no
fast_vm2_single,complex,CD_guest-6,486.206717855,311.104102112,175.102615743,263.555627033,-74.9626596552,122.511277556,-80.8740946213,5.9114349661,152.886537762,134.150285875,-23.4811966042,-176.091916894,152.61072029,4.902553428,14.7552722465,133.183988206,0.0447238816,0.0,91.1,42.9,yes,no
fast_vm2_single,complex,CD_guest-7,503.736364617,316.547096648,187.189267969,262.11950079,-73.4491377817,127.876734967,-79.4229668437,5.973829062,155.020085696,134.103100991,-27.0036858967,-185.320420855,158.316734958,4.9748908876,15.5919573717,134.400249413,0.0529880237,0.0,123.31,58.47,yes,no
fast_vm2_single,complex,CD_guest-8,517.729457701,323.297049853,194.432407848,273.730364384,-83.6757334308,133.242192378,-89.7546812495,6.0789478186,155.899508903,148.209535076,-30.3786795952,-186.771188015,156.392508419,4.5499018849,13.5205824099,137.829021153,3.4554e-06,0.0,105.56,41.45,yes,no
fast_vm2_single,complex,CD_guest-s10,545.590861584,351.827253697,193.763607886,307.772549016,-84.7161007733,128.770977869,-90.6816697387,5.9655689654,149.330962914,182.891728302,-24.4501422006,-179.58533674,155.135194539,4.7722325251,13.454665328,131.104065061,0.0,0.0,48.73,23.02,yes,no
fast_vm2_single,complex,CD_guest-s11,563.688651981,368.388084745,195.300567236,323.041631383,-83.4250371325,128.770977869,-89.4597369398,6.0346998073,145.602978127,199.088794868,-21.6501416128,-179.535248547,157.885106934,4.9231574088,14.2658271385,126.41399358,0.0,0.0,54.84,26.58,yes,no
fast_vm2_single,complex,CD_guest-s12,612.681566864,411.127230931,201.554335932,355.304887657,-78.3145411256,134.13643528,-84.4346572128,6.1201160872,148.67846522,233.532934167,-26.9065117302,-181.116219775,154.209708045,4.6179863034,12.939072221,131.121406696,0.0,0.0,149.82,66.6,yes,no
fast_vm2_single,complex,CD_guest-s13,560.690981985,355.32155615,205.369425834,302.736071149,-81.5508777024,134.13643528,-87.6538609482,6.1029832458,149.279796825,179.692030215,-26.2357558903,-187.765304792,161.529548902,4.9392123509,14.0665782322,130.274006241,0.0,0.0,67.24,26.06,yes,no
fast_vm2_single,complex,CD_guest-s14,581.665442102,377.955878829,203.709563273,332.033390636,-88.2142744326,134.13643528,-94.268411205,6.0541367723,150.318362801,208.76361456,-27.0485867246,-182.282622669,155.234035944,4.6652731426,12.0414888133,133.611600845,0.0,0.0,47.82,23.22,yes,no
fast_vm2_single,complex,CD_guest-s15,568.8818235,360.270494374,208.611329126,305.911466249,-82.4604152261,136.819163985,-88.5336452755,6.0732300494,151.270058378,183.679536251,-29.0381283805,-188.798216039,159.760087659,4.6593124405,12.4999232727,134.110822665,0.0,0.0,46.48,23.0,yes,no
fast_vm2_single,complex,CD_guest-s16,546.945065957,369.034170765,177.910895192,282.886318969,-36.3634305974,122.511277556,-42.3862636754,6.022833078,153.194395426,150.360986097,-20.6690625539,-168.292039218,147.622976664,4.6291119702,12.2510896934,136.314193762,0.0,0.0,57.3,25.54,yes,no
fast_vm2_single,complex,CD_guest-s17,595.687700921,392.016128363,203.671572558,297.916792743,-39.1428885501,133.242192378,-45.3318661322,6.1889775821,162.938522999,156.782147546,-21.8038778018,-186.725289074,164.921411272,5.3534501534,19.0892203387,138.495852507,0.0,0.0,64.78,28.5,yes,no
fast_vm2_single,complex,CD_guest-s18,493.067103287,311.169024335,181.898078953,259.272703453,-73.2975586182,125.194006261,-79.2621407246,5.9645821064,152.592148991,132.022995505,-25.3424410439,-181.854987521,156.512546477,4.9257457486,14.6083001572,133.019759846,0.0383432395,0.0,89.94,39.79,yes,no
fast_vm2_single,complex,CD_guest-s19,504.493857693,321.659422664,182.834435029,275.519983456,-79.9484313225,126.088249163,-85.8937840779,5.9453527554,149.375521851,153.593480788,-27.4490191831,-182.475854293,155.02683511,4.7490675562,14.9345718252,129.68883066,0.0030518102,0.0,90.94,41.58,yes,no
fast_vm2_single,complex,CD_guest-s20,513.098643741,333.441818326,179.656825414,277.32474577,-69.9710297082,126.088249163,-75.9147353195,5.9437056113,165.389413337,142.341412427,-30.4060799931,-182.525110224,152.119030231,4.4166167901,13.3758873387,147.595752195,0.001157013,0.0,69.27,36.18,yes,no
fast_vm2_single,complex,CD_guest-s21,509.803015305,316.830853844,192.972161461,258.955613008,-72.683796988,130.559463672,-78.6674603194,5.9836633314,155.124549375,132.353383815,-28.5223201826,-189.703599864,161.181279681,4.9792001536,14.4034511386,135.680883773,0.0610143102,0.0,55.22,25.66,yes,no
fast_vm2_single,complex,CD_guest-s22,504.304525523,314.576337997,189.728187526,255.029758221,-69.224680926,128.770977869,-75.2096572861,5.9849763601,155.996455125,124.518099078,-25.4847959827,-189.16660797,163.681811987,5.2855702805,15.2058153645,135.48346944,0.0216000398,0.0,87.32,41.18,yes,no
fast_vm2_single,complex,CD_guest-s9,594.552134435,402.544566901,192.007567534,356.660853722,-82.887089678,128.770977869,-88.8880844673,6.0009947893,146.49923339,236.131666855,-25.9700465228,-175.846150957,149.876104435,4.5020181837,11.519330732,130.477884475,0.0,0.0,51.25,22.82,yes,no
