run, type, Ident, FE, AvgE, S, U, W, HO_PE, PB, SA, Valence, Coulomb, VdW, VdW6, VdW12, Bond, Angle, Pdihed, Idihed, Tether, RunTime, WallTime, Converged, Crashed
vm2_rndm,complex,CD_guest-1,537.422569851,352.965692398,184.456877453,304.966784234,-78.0888143927,126.088249163,-84.2050158195,6.1162014268,144.236533472,181.670560029,-20.9403092669,-169.657112923,148.716803656,4.413515585,10.2706686839,129.552349203,0.0,0.0,67582.13,34158.1,yes,no
vm2_rndm,complex,CD_guest-2,554.743925742,359.879824543,194.864101198,300.566805983,-72.1398942823,131.453706574,-78.1622280536,6.0223337713,146.09979451,179.238203133,-24.7711916594,-176.201792328,151.430600669,4.3868817361,10.134595544,131.578317229,0.0,0.0,71129.11,35748.57,yes,no
vm2_rndm,complex,CD_guest-3,572.295495415,368.00595317,204.289542245,304.231089138,-73.0440697361,136.819163985,-79.2380799575,6.1940102214,146.972050134,185.092240688,-27.8332016841,-181.157348868,153.324147184,4.3377013938,9.7401368405,132.8942119,0.0,0.0,96668.81,47712.32,yes,no
vm2_rndm,complex,CD_guest-4,546.797328701,366.257885097,180.539443604,275.437430226,-34.3735338087,125.194006261,-40.4875949295,6.1140611207,158.248649959,141.06514996,-23.8763696936,-169.153587707,145.277218013,4.3398149512,12.4795517724,141.429283236,0.0,0.0,69943.64,35896.41,yes,no
vm2_rndm,complex,CD_guest-5,560.792884391,369.049981311,191.74290308,270.293243046,-31.8027271687,130.559463672,-37.9697007083,6.1669735395,155.07198463,141.561174546,-26.3399161306,-176.27529875,149.935382619,4.1691940266,11.8478269422,139.054963661,0.0,0.0,93375.81,48717.6,yes,no
vm2_rndm,complex,CD_guest-6,470.81011422,295.055531944,175.754582276,240.029008891,-67.4844516707,122.511277556,-73.5507866593,6.0663349886,150.033801654,108.056143498,-18.0609362617,-174.644262813,156.583326551,5.097324329,12.2515152102,132.684468301,0.0004938141,0.0,70712.5,35348.87,yes,no
vm2_rndm,complex,CD_guest-7,486.916333269,302.832789591,184.083543678,250.73072952,-75.7743141932,127.876734967,-81.9051567339,6.1308425407,150.108318885,125.205043621,-24.5826329858,-179.398515173,154.815882187,4.6127821375,11.8353920721,133.658416717,0.0017279591,0.0,82463.77,42249.24,yes,no
vm2_rndm,complex,CD_guest-8,502.899009072,308.504797819,194.394211253,247.683953363,-72.4212160651,133.242192378,-78.6076716549,6.1864555898,151.17498422,123.684348038,-27.1753788954,-185.57224413,158.396865235,4.5821787796,11.5257192095,135.063151397,0.0039348331,0.0,82382.08,42114.3,yes,no
vm2_rndm,complex,CD_guest-s10,522.697109824,333.336384669,189.360725154,280.719969342,-76.153963495,128.770977869,-82.2586867641,6.1047232691,145.310912043,158.780147886,-23.3710905874,-172.636399457,149.26530887,4.2706221123,10.4097466573,130.630543274,0.0,0.0,71591.73,36850.97,yes,no
vm2_rndm,complex,CD_guest-s11,545.590046441,355.907609214,189.682437228,300.761219847,-73.6241322222,128.770977869,-79.6085886922,5.9844564701,145.26238184,179.048812074,-23.5499740674,-172.938239719,149.388265652,4.3694172709,10.0624992572,130.830465312,0.0,0.0,68976.78,35264.38,yes,no
vm2_rndm,complex,CD_guest-s12,592.533555003,391.852232816,200.681322187,322.243998065,-64.5279714936,134.13643528,-70.5359464612,6.0079749676,146.328136892,202.679405922,-26.7635447488,-181.055728233,154.292183484,4.4099967183,10.2525679833,131.665572191,0.0,0.0,69889.9,35730.09,yes,no
vm2_rndm,complex,CD_guest-s13,539.739821722,338.639718223,201.100103499,269.698845664,-65.1952193318,134.13643528,-71.2201288726,6.0249095408,148.202262456,147.372287925,-25.875704717,-181.422569156,155.546864439,4.3425037764,10.4448625782,133.414896102,0.0,0.0,73440.38,36250.23,yes,no
vm2_rndm,complex,CD_guest-s14,563.827549937,364.416705937,199.410844,308.351644212,-78.0709825227,134.13643528,-84.2407031445,6.1697206218,146.748261804,187.852738065,-26.249355657,-178.851624971,152.602269313,4.3876772233,10.1176612686,132.242923312,0.0,0.0,86859.38,44208.7,yes,no
vm2_rndm,complex,CD_guest-s15,548.600462902,342.101049089,206.499413813,270.429117267,-65.1467838321,136.819163985,-71.219129475,6.0723456429,148.699681922,149.216480828,-27.4870454825,-185.391272738,157.904227255,4.3496408076,10.4935257146,133.8565154,0.0,0.0,72007.85,35743.82,yes,no
vm2_rndm,complex,CD_guest-s16,535.692599972,360.006825793,175.685774179,271.31669115,-33.8211420766,122.511277556,-39.8814125552,6.0602704786,149.930249378,139.376721726,-17.9902799537,-164.828170619,146.837890665,4.5937634134,11.2690447897,134.067441175,0.0,0.0,64166.32,32110.6,yes,no
vm2_rndm,complex,CD_guest-s17,576.081832446,377.448803922,198.633028524,276.183791429,-31.9771735508,133.242192378,-38.1625492798,6.185375729,159.717870007,141.873351156,-25.4074297336,-179.800202803,154.39277307,4.4019900221,13.8657570488,141.450122936,0.0,0.0,76009.79,38887.39,yes,no
vm2_rndm,complex,CD_guest-s18,479.275806674,298.099186161,181.176620513,237.795883364,-64.8904809636,125.194006261,-70.911061897,6.0205809335,150.675938043,108.301061781,-21.1811164606,-180.67198042,159.490863959,5.068768639,12.477372239,133.124560495,0.0052366707,0.0,74748.18,37621.96,yes,no
vm2_rndm,complex,CD_guest-s19,485.500835926,306.502201683,178.998634243,254.122009565,-73.7078782141,126.088249163,-79.7736075259,6.0657293118,146.26061572,131.024738107,-23.163344261,-174.964858775,151.801514514,4.5998737474,12.0305964783,129.60645092,0.0236945737,0.0,82499.47,40762.66,yes,no
vm2_rndm,complex,CD_guest-s20,487.761052728,306.006130819,181.754921909,242.429529494,-62.5113358476,126.088249163,-68.5251742168,6.0138383692,158.674175959,104.548264124,-20.7929105884,-181.975750229,161.18283964,5.1239500444,12.8128220857,140.73016869,0.0072351384,0.0,75863.28,39640.62,yes,no
vm2_rndm,complex,CD_guest-s21,494.936776215,305.801231832,189.135544383,248.949276467,-73.7074621799,130.559463672,-79.8512982018,6.143836022,150.809630376,123.954844572,-25.8151984815,-182.269734424,156.454535943,4.5861392178,11.6221195184,134.598211756,0.0031598841,0.0,84405.53,41730.46,yes,no
vm2_rndm,complex,CD_guest-s22,490.399312407,305.599966166,184.799346241,249.129434546,-72.3003902266,128.770977869,-78.4082923758,6.1079021491,151.877983408,122.731638031,-25.4801868928,-182.201936105,156.721749213,4.6365299668,11.9178282639,135.31791385,0.0057113271,0.0,86488.5,44926.41,yes,no
vm2_rndm,complex,CD_guest-s9,574.055733884,384.711047794,189.34468609,321.816294754,-65.8757224805,128.770977869,-71.9234113865,6.047688906,145.234730538,197.823347586,-21.24178337,-168.675638171,147.433854801,4.3950819124,10.1532078863,130.686440739,0.0,0.0,65876.58,33725.4,yes,no
