Ident, Complex G, Host G, Ligand G, Exp DeltaG, Calculated DeltaG, Error, Abs Error, Converged, Crashed
CD_guest-1,536.202466111,519.852144274,14.6464695654,-1.575,1.7038522716,3.2788522716,3.2788522716,yes,no
CD_guest-2,554.882239821,519.852144274,36.6980454987,-1.575,-1.6679499517,3.2788522716,3.2788522716,yes,no
CD_guest-3,572.408497371,519.852144274,56.3870817363,-1.575,-3.8307286393,3.2788522716,3.2788522716,yes,no
CD_guest-4,546.725636131,519.852144274,29.6126262474,-1.575,-2.7391343904,3.2788522716,3.2788522716,yes,no
CD_guest-5,563.553385824,519.852144274,45.8250067965,-1.575,-2.1237652465,3.2788522716,3.2788522716,yes,no
CD_guest-6,470.842202482,519.852144274,-44.8286140174,-1.575,-4.1813277746,3.2788522716,3.2788522716,yes,no
CD_guest-7,487.403515608,519.852144274,-26.6824144567,-1.575,-5.7662142093,3.2788522716,3.2788522716,yes,no
CD_guest-8,503.159690903,519.852144274,-8.8391983856,-1.575,-7.8532549854,3.2788522716,3.2788522716,yes,no
CD_guest-s10,522.560103609,519.852144274,2.1713711525,-1.575,0.5365881825,3.2788522716,3.2788522716,yes,no
CD_guest-s11,545.698297749,519.852144274,25.9935121163,-1.575,-0.1473586413,3.2788522716,3.2788522716,yes,no
CD_guest-s12,593.689663095,519.852144274,73.8736485572,-1.575,-0.0361297362,3.2788522716,3.2788522716,yes,no
CD_guest-s13,540.673954807,519.852144274,22.6548831547,-1.575,-1.8330726217,3.2788522716,3.2788522716,yes,no
CD_guest-s14,564.158841211,519.852144274,46.699460911,-1.575,-2.392763974,3.2788522716,3.2788522716,yes,no
CD_guest-s15,549.308104621,519.852144274,32.3491163908,-1.575,-2.8931560438,3.2788522716,3.2788522716,yes,no
CD_guest-s16,535.585229774,519.852144274,15.8749241939,-1.575,-0.1418386939,3.2788522716,3.2788522716,yes,no
CD_guest-s17,578.345580292,519.852144274,60.2772604886,-1.575,-1.7838244706,3.2788522716,3.2788522716,yes,no
CD_guest-s18,478.976256899,519.852144274,-35.9860808782,-1.575,-4.8898064968,3.2788522716,3.2788522716,yes,no
CD_guest-s19,485.293645605,519.852144274,-29.8684008749,-1.575,-4.6900977941,3.2788522716,3.2788522716,yes,no
CD_guest-s20,487.58901644,519.852144274,-27.8218570874,-1.575,-4.4412707466,3.2788522716,3.2788522716,yes,no
CD_guest-s21,495.090868979,519.852144274,-17.6473518688,-1.575,-7.1139234262,3.2788522716,3.2788522716,yes,no
CD_guest-s22,490.52208708,519.852144274,-23.0799307458,-1.575,-6.2501264482,3.2788522716,3.2788522716,yes,no
CD_guest-s9,575.103977392,519.852144274,52.7770010179,-1.575,2.4748321001,3.2788522716,3.2788522716,yes,no
