run, type, Ident, FE, AvgE, S, U, W, HO_PE, PB, SA, Valence, Coulomb, VdW, VdW6, VdW12, Bond, Angle, Pdihed, Idihed, Tether, RunTime, WallTime, Converged, Crashed
vm2_single,complex,CD_guest-1,536.202466111,351.649708704,184.552757407,299.102783495,-73.5409356559,126.088249163,-79.5527622346,6.0118265787,144.205034589,174.342599819,-19.4448509132,-167.119564895,147.674713982,4.4594941512,10.4857948839,129.259745554,0.0,0.0,57584.92,28913.94,yes,no
vm2_single,complex,CD_guest-2,554.882239821,359.78146292,195.100776901,299.889967851,-71.5616661533,131.453706574,-77.5808685065,6.0192023531,146.305885923,178.39379269,-24.8097107625,-176.541514969,151.731804207,4.387564799,10.16595184,131.752369284,0.0,0.0,63405.55,31983.1,yes,no
vm2_single,complex,CD_guest-3,572.408497371,368.00490002,204.403597352,304.589450908,-73.4027527328,136.819163985,-79.6026508655,6.1998981327,147.123766544,185.2263746,-27.7606902356,-181.326450491,153.565760255,4.3484018775,9.7972548454,132.978109821,0.0,0.0,84681.58,43405.13,yes,no
vm2_single,complex,CD_guest-4,546.725636131,366.270700713,180.454935419,275.987439101,-34.9107282835,125.194006261,-41.0268350931,6.1161068096,158.069099111,141.950616675,-24.0322766843,-169.088302703,145.056026019,4.3313997597,12.4501921396,141.287507212,0.0,0.0,72507.67,37396.74,yes,no
vm2_single,complex,CD_guest-5,563.553385824,372.05549395,191.497891874,274.568559777,-33.0725215974,130.559463672,-39.2440006616,6.1714790642,157.820309958,142.621004807,-25.8727549875,-178.131236237,152.25848125,4.3669631791,12.155394808,141.297951971,0.0,0.0,88258.71,45299.18,yes,no
vm2_single,complex,CD_guest-6,470.842202482,295.097670877,175.744531605,240.241543777,-67.6550025657,122.511277556,-73.6999577094,6.0449551437,150.023296448,108.235770668,-18.0175233393,-174.625837598,156.608314259,5.0991092913,12.2382267424,132.685477023,0.0004833915,0.0,67441.54,32879.18,yes,no
vm2_single,complex,CD_guest-7,487.403515608,302.665231697,184.738283912,246.239753085,-71.4510853743,127.876734967,-77.5480694015,6.0969840272,150.183853064,119.707161982,-23.6512619613,-180.404442338,156.753180377,4.774421297,12.1419707174,133.258353231,0.0091078187,0.0,63467.02,32081.59,yes,no
vm2_single,complex,CD_guest-8,503.159690903,308.230723799,194.928967104,246.020261749,-71.0316440019,133.242192378,-77.2008769329,6.169232931,151.106234199,121.69147386,-26.7774463095,-186.433289641,159.655843331,4.6369980549,11.7690039191,134.693538317,0.0066939076,0.0,77246.3,40289.47,yes,no
vm2_single,complex,CD_guest-s10,522.560103609,333.411328561,189.148775049,280.521640971,-75.881035112,128.770977869,-82.0037998639,6.1227647519,145.325146231,157.737456741,-22.5409620017,-171.870375487,149.329413485,4.2863473257,10.4875662347,130.551232671,0.0,0.0,72255.86,35233.95,yes,no
vm2_single,complex,CD_guest-s11,545.698297749,355.770033672,189.928264077,299.431145022,-72.4316170112,128.770977869,-78.4136019082,5.981984897,145.5001206,177.357058009,-23.426033587,-173.333456625,149.907423038,4.3979972211,10.1420064119,130.960116967,0.0,0.0,56654.29,29042.76,yes,no
vm2_single,complex,CD_guest-s12,593.689663095,394.155956456,199.533706639,338.034746329,-78.0147598685,134.13643528,-84.1858942928,6.1711344243,146.460794862,218.491891058,-26.9179395909,-180.453744211,153.53580462,4.4891607115,10.2996751142,131.671959036,0.0,0.0,74543.34,36682.43,yes,no
vm2_single,complex,CD_guest-s13,540.673954807,340.591352709,200.082602098,287.281165981,-80.8245864632,134.13643528,-86.9579836501,6.133397187,145.35110634,170.355800455,-28.425740813,-180.798074209,152.372333396,4.2310774564,10.4180675627,130.70196132,0.0,0.0,89664.75,45308.04,yes,no
vm2_single,complex,CD_guest-s14,564.158841211,365.646900956,198.511940256,317.119438541,-85.6087329852,134.13643528,-91.88467311,6.2759401247,146.57852818,196.491905573,-25.9509952116,-177.764979106,151.813983895,4.4343599088,10.2775212017,131.866647069,0.0,0.0,65296.05,34158.49,yes,no
vm2_single,complex,CD_guest-s15,549.308104621,344.008041393,205.300063228,282.068223984,-74.8789087175,136.819163985,-81.2159083386,6.336999621,147.280246189,162.127892217,-27.3399144219,-183.88172408,156.541809658,4.3381073987,10.4485556598,132.49358313,0.0,0.0,69082.12,35540.15,yes,no
vm2_single,complex,CD_guest-s16,535.585229774,360.276797149,175.308432625,272.128128932,-34.3625988753,122.511277556,-40.431894966,6.0692960907,150.181584114,140.843071279,-18.8965264609,-164.484775689,145.588249228,4.5409193842,11.1040941129,134.536570617,0.0,0.0,61610.92,30648.74,yes,no
vm2_single,complex,CD_guest-s17,578.345580292,379.929645568,198.415934724,281.595572546,-34.9081183768,133.242192378,-41.1436032581,6.2354848812,161.215563464,144.745594754,-24.3655856716,-181.410541738,157.044956066,4.5847868048,13.9575026233,142.673274036,0.0,0.0,82693.29,41811.5,yes,no
vm2_single,complex,CD_guest-s18,478.976256899,297.985354544,180.990902355,237.481960861,-64.6903287051,125.194006261,-70.710970257,6.0206415519,150.75388964,107.713810909,-20.9857396882,-180.604081724,159.618342036,5.077613155,12.4308247873,133.242097229,0.0033544692,0.0,66789.46,34162.67,yes,no
vm2_single,complex,CD_guest-s19,485.293645605,306.640242575,178.653403031,255.304304944,-74.7522232521,126.088249163,-80.8352063699,6.0829831178,146.096929901,132.269525844,-23.0621508008,-174.429682191,151.367531391,4.5732900515,12.0207119052,129.479637052,0.023290893,0.0,74369.45,36690.61,yes,no
vm2_single,complex,CD_guest-s20,487.58901644,306.061536346,181.527480094,242.53022645,-62.5565910758,126.088249163,-68.5742848692,6.0176937934,158.884778012,104.508183044,-20.8627346058,-181.998802464,161.136067859,5.1156268319,12.7383036937,141.024059186,0.0067883002,0.0,76380.07,38572.96,yes,no
vm2_single,complex,CD_guest-s21,495.090868979,305.570365008,189.520503971,246.963176152,-71.9521818793,130.559463672,-78.0889706723,6.136788793,150.819953292,121.541300899,-25.3980780387,-182.750888928,157.352810889,4.6577774279,11.7327763622,134.422855643,0.0065438581,0.0,73459.43,37505.72,yes,no
vm2_single,complex,CD_guest-s22,490.52208708,305.638113356,184.883973724,248.064660169,-71.1972975291,128.770977869,-77.2936038599,6.0963063309,152.31208516,121.29136096,-25.5387859509,-182.659083053,157.120297102,4.6669016051,12.0500423463,135.582771747,0.0123694616,0.0,81383.39,41498.13,yes,no
vm2_single,complex,CD_guest-s9,575.103977392,385.480903006,189.623074387,331.728264374,-75.0181862254,128.770977869,-81.2096830308,6.1914968054,145.090646175,209.993543792,-23.355925593,-175.016300336,151.660374743,4.538292805,10.3781565704,130.1741968,0.0,0.0,61093.57,30671.61,yes,no
