run, type, Ident, FE, AvgE, S, U, W, HO_PE, PB, SA, Valence, Coulomb, VdW, VdW6, VdW12, Bond, Angle, Pdihed, Idihed, Tether, RunTime, WallTime, Converged, Crashed
fast_vm2_rndm,ligand,guest-1,14.6471187289,-2.1967263598,16.8438450886,45.1347436522,-60.745045597,13.413643528,-62.4986314461,1.7535858491,1.0461397163,43.8750689841,0.2135349519,-2.8168750543,3.0304100062,0.0980892932,0.4604177212,0.4876327019,0.0,0.0,4.22,4.48,yes,no
fast_vm2_rndm,ligand,guest-2,36.6513151211,10.9953690107,25.6559461104,47.6878309781,-55.471426078,18.7791009392,-57.6066644625,2.1352383846,2.2326888727,44.8927039909,0.5624381145,-5.5468900031,6.1093281177,0.1562473313,0.6453806391,1.4310609024,0.0,0.0,22.15,22.42,yes,no
fast_vm2_rndm,ligand,guest-3,56.3928133799,21.8506548987,34.5421584812,49.2338654556,-51.5274783282,24.1445583504,-54.0489083205,2.5214299923,3.3969411297,44.9551181479,0.881806178,-8.29261045,9.174416628,0.2122102055,0.8215253713,2.3632055529,0.0,0.0,94.75,94.95,yes,no
fast_vm2_rndm,ligand,guest-4,29.6127612936,15.4101510094,14.2026102841,5.4979374049,-2.6071849165,12.5194006261,-4.3462329796,1.7390480631,14.0446079575,-9.1379348643,0.5912643117,-3.428426025,4.0196903367,0.057768004,3.9938083092,9.9930316443,0.0,0.0,4.2,4.37,yes,no
fast_vm2_rndm,ligand,guest-5,45.8552251845,21.0294860685,24.825739116,5.1317390732,-1.9871045793,17.8848580373,-3.9915808926,2.0044763133,12.1968690145,-9.2050276915,2.1398977503,-9.3249240843,11.4648218346,0.2328688276,2.8256297559,9.138370431,0.0,0.0,15.79,16.09,yes,no
fast_vm2_rndm,ligand,guest-6,-44.8286131493,-49.6626333767,4.8340202273,7.6046674706,-67.1038577656,9.8366719205,-68.8108931076,1.707035342,5.8647261414,1.4146268307,0.3253144985,-3.1237092622,3.4490237606,0.0618533314,2.2732479998,3.5291103663,0.0005144439,0.0,3.36,3.55,yes,no
fast_vm2_rndm,ligand,guest-7,-26.6813039404,-40.3387030005,13.6573990601,6.8422517779,-62.3827225621,15.2021293317,-64.49739967,2.1146771078,6.9893730336,-0.8118839997,0.664762744,-5.808836833,6.473599577,0.1080089594,2.4161579302,4.4645972819,0.0006088621,0.0,7.62,7.82,yes,no
fast_vm2_rndm,ligand,guest-8,-8.8396496889,-31.408595502,22.5689458131,6.9962416754,-58.9719478732,20.5675867429,-61.4747803734,2.5028325002,8.096393308,-2.0812837006,0.9811320679,-8.4706540595,9.4517861274,0.1557054383,2.5567291135,5.3832421795,0.0007165768,0.0,41.23,41.42,yes,no
fast_vm2_rndm,ligand,guest-s10,2.1715040392,-19.8770960636,22.0486001028,22.3871878449,-58.3603897368,16.0963722336,-60.2888057842,1.9284160474,2.2107610068,19.5027714377,0.6736554004,-4.8240850209,5.4977404214,0.1523773148,1.0604175988,0.9979660931,0.0,0.0,4.98,5.1,yes,no
fast_vm2_rndm,ligand,guest-s11,25.9938242981,4.7544428131,21.239381485,46.5664701352,-57.9083198032,16.0963722336,-59.8388177172,1.9304979139,1.6502777084,44.5194613922,0.3967310346,-4.1775140319,4.5742450665,0.1277544597,0.5584612962,0.9640619525,0.0,0.0,6.46,6.98,yes,no
fast_vm2_rndm,ligand,guest-s12,73.8661892684,44.0050911182,29.8610981502,71.6379257318,-49.0945819904,21.4618296448,-51.3925890405,2.2980070502,2.3833039877,68.8964935768,0.3581281673,-6.5665322517,6.924660419,0.1852617872,0.6833006411,1.5147415594,0.0,0.0,48.41,48.74,yes,no
fast_vm2_rndm,ligand,guest-s13,22.6534299334,-8.1833887689,30.8368187023,24.3133670156,-53.9580845903,21.4618296448,-56.2730755069,2.3149909167,3.4108306638,19.9001814182,1.0023549335,-7.6150027322,8.6173576657,0.2143119401,1.242643958,1.9538747657,0.0,0.0,32.05,32.29,yes,no
fast_vm2_rndm,ligand,guest-s14,46.73365005,16.6117634752,30.1218865748,48.5159634768,-53.3658417991,21.4618296448,-55.6930593415,2.3272175424,2.8090455206,44.9847536428,0.7221643134,-6.912161877,7.6343261904,0.1838125197,0.7312190643,1.8940139367,0.0,0.0,37.35,37.54,yes,no
fast_vm2_rndm,ligand,guest-s15,32.3519304771,-2.9039827111,35.2559131882,25.0334627496,-52.0817776322,24.1445583504,-54.5949407255,2.5131630933,4.007593806,19.8635021867,1.1623667569,-9.0232533408,10.1856200977,0.2447132853,1.3408658242,2.4220146964,0.0,0.0,44.52,44.86,yes,no
fast_vm2_rndm,ligand,guest-s16,15.8749270583,6.9383258724,8.9366011859,-0.0395371896,-2.858771516,9.8366719205,-4.453821902,1.595050386,6.5435076772,-7.5883267061,1.0052818393,-2.205983664,3.2112655034,0.0627188811,0.8846912104,5.5960975857,0.0,0.0,2.79,3.0,yes,no
fast_vm2_rndm,ligand,guest-s17,60.2698517677,29.9255031433,30.3443486244,11.3435604824,-1.9856432866,20.5675867429,-4.116347788,2.1307045015,17.1605757825,-8.5750151081,2.7579998081,-12.6129216871,15.3709214952,0.4242525776,5.0466295571,11.6896936478,0.0,0.0,37.17,37.37,yes,no
fast_vm2_rndm,ligand,guest-s18,-35.9927849325,-45.1781761327,9.1853912003,6.8543410481,-64.551644895,12.5194006261,-66.4758010881,1.9241561931,6.4383555296,-0.0852480223,0.5012335409,-4.4944733884,4.9957069293,0.0858967222,2.348706771,4.0031882478,0.0005637886,0.0,3.73,3.91,yes,no
fast_vm2_rndm,ligand,guest-s19,-29.8681415752,-39.7758928351,9.9077512599,9.4770077779,-62.665813393,13.413643528,-64.7291937083,2.0633803152,2.7092946899,5.9567999681,0.8109131199,-4.7734047625,5.5843178824,0.0690741416,2.6120758803,0.0281025233,4.21447e-05,0.0,3.6,3.79,yes,no
fast_vm2_rndm,ligand,guest-s20,-27.8213144079,-36.3603419141,8.5390275062,14.0334022579,-63.8072944126,13.413643528,-65.8825987694,2.0753043568,14.3824468075,-1.0067942152,0.6577496656,-4.7570696201,5.4148192857,0.0796094567,2.6483786442,11.6539543516,0.000504355,0.0,4.09,4.33,yes,no
fast_vm2_rndm,ligand,guest-s21,-17.6680452344,-35.8212632959,18.1532180615,6.8408936593,-60.5469780909,17.8848580373,-62.8564048495,2.3094267585,7.5224597246,-1.5046217664,0.8230557011,-7.1046409482,7.9276966494,0.1299250474,2.4730804407,4.9188241829,0.0006300535,0.0,16.11,16.3,yes,no
fast_vm2_rndm,ligand,guest-s22,-23.0756373904,-36.3343971291,13.2587597387,7.6698535976,-60.1001270683,16.0963722336,-62.3306762571,2.2305491889,9.0535331991,-2.1450665827,0.7613869812,-6.4836244381,7.2450114193,0.1199387287,2.5512924101,6.3814896129,0.0008124473,0.0,21.01,21.17,yes,no
fast_vm2_rndm,ligand,guest-s9,52.7516470305,31.7223338867,21.0293131438,69.9444155217,-54.3183947203,16.0963722336,-56.2263095898,1.9079148694,1.1946381236,68.7134405866,0.0363368115,-3.8384132373,3.8747500488,0.1235555055,0.5008570633,0.5702255547,0.0,0.0,6.06,6.13,yes,no
