run, type, Ident, FE, AvgE, S, U, W, HO_PE, PB, SA, Valence, Coulomb, VdW, VdW6, VdW12, Bond, Angle, Pdihed, Idihed, Tether, RunTime, WallTime, Converged, Crashed
vm2_rndm,ligand,guest-1,14.6466893365,-2.1973030697,16.8439924062,45.1345219857,-60.7456182293,13.413643528,-62.4988393661,1.7532211368,1.0460560685,43.8749595431,0.2135063741,-2.816680541,3.0301869151,0.0980801674,0.460387493,0.487588408,0.0,0.0,4.16,4.41,yes,no
vm2_rndm,ligand,guest-2,36.6513416532,10.9962951252,25.6550465281,47.6887688736,-55.471529904,18.7791009392,-57.6067727553,2.1352428513,2.2333598811,44.892964168,0.5624448245,-5.5475979116,6.110042736,0.1562682387,0.6455886397,1.4315030028,0.0,0.0,22.53,22.95,yes,no
vm2_rndm,ligand,guest-3,56.4049567167,21.8335579449,34.5713987718,49.2151788177,-51.5257968757,24.1445583504,-54.047254511,2.5214576353,3.3825549226,44.950786832,0.8818370631,-8.2774043883,9.1592414514,0.2113723291,0.8132960425,2.357886551,0.0,0.0,83.66,83.87,yes,no
vm2_rndm,ligand,guest-4,29.6126351403,15.4100540155,14.2025811248,5.4980246541,-2.6073663454,12.5194006261,-4.3464150777,1.7390487323,14.0445550297,-9.1377719433,0.5912415678,-3.428350942,4.0195925098,0.0577685305,3.9937477888,9.9930387104,0.0,0.0,4.25,4.48,yes,no
vm2_rndm,ligand,guest-5,45.9021491073,21.0576434403,24.844505667,5.187209478,-2.0144195301,17.8848580373,-4.0200935074,2.0056739773,12.188357449,-9.1482526503,2.1471046793,-9.3338858924,11.4809905717,0.2342605337,2.8331605211,9.1209363942,0.0,0.0,16.34,16.52,yes,no
vm2_rndm,ligand,guest-6,-44.8286162466,-49.662623342,4.8340070954,7.6046782533,-67.1036111114,9.8366719205,-68.8106463955,1.7070352841,5.8647264046,1.4146369169,0.3253149318,-3.1237133205,3.4490282523,0.0618530774,2.273247004,3.5291119457,0.0005143775,0.0,3.4,3.57,yes,no
vm2_rndm,ligand,guest-7,-26.6828863637,-40.3402318256,13.6573454619,6.8424209335,-62.3839244181,15.2021293317,-64.4987687642,2.1148443461,6.9896282187,-0.8121436882,0.6649364029,-5.8090519008,6.4739883037,0.108027676,2.4162334322,4.4647585328,0.0006085778,0.0,7.68,7.87,yes,no
vm2_rndm,ligand,guest-8,-8.7835664879,-31.4218319817,22.6382654938,6.9884423225,-58.9776299709,20.5675867429,-61.4780360527,2.5004060818,8.0821303822,-2.0703069127,0.976618853,-8.4527294973,9.4293483503,0.1542987505,2.5514915299,5.3756322046,0.0007078973,0.0,34.06,34.26,yes,no
vm2_rndm,ligand,guest-s10,2.1713203176,-19.8770771809,22.0483974984,22.3873208989,-58.3605152499,16.0963722336,-60.2889274951,1.9284122451,2.2109858372,19.5026968555,0.6736382062,-4.8241718971,5.4978101033,0.152390497,1.0605644149,0.9980309252,0.0,0.0,4.75,4.95,yes,no
vm2_rndm,ligand,guest-s11,26.042652365,4.7566359128,21.2860164523,46.570972576,-57.9104523916,16.0963722336,-59.8407483989,1.9302960073,1.6535339354,44.5177255702,0.3997130704,-4.1876193546,4.5873324251,0.1285721258,0.5620831113,0.9628786983,0.0,0.0,11.91,12.23,yes,no
vm2_rndm,ligand,guest-s12,73.85564069,44.0159510042,29.8396896857,71.6607464859,-49.1064328504,21.4618296448,-51.4036742995,2.2972414491,2.3949246326,68.9093302253,0.356491628,-6.5904002678,6.9468918958,0.1860659353,0.689182181,1.5196765164,0.0,0.0,42.05,42.31,yes,no
vm2_rndm,ligand,guest-s13,22.6550992443,-8.1850622812,30.8401615255,24.3109846614,-53.9574929617,21.4618296448,-56.2724331735,2.3149402118,3.4101228052,19.8981852469,1.0026766093,-7.6147860775,8.6174626868,0.2143171043,1.2424133039,1.9533923969,0.0,0.0,25.52,25.83,yes,no
vm2_rndm,ligand,guest-s14,46.7130614755,16.627070504,30.0859909715,48.5382204969,-53.3729016567,21.4618296448,-55.6990510293,2.3261493726,2.8238351,44.9899292886,0.7244561083,-6.9397529562,7.6642090645,0.185310249,0.7403508584,1.8981739926,0.0,0.0,36.67,36.87,yes,no
vm2_rndm,ligand,guest-s15,32.3504007638,-2.909634005,35.2600347688,25.0288547498,-52.0827619109,24.1445583504,-54.5960589863,2.5132970754,4.0038937242,19.8646021038,1.1603589217,-9.0232104144,10.1835693361,0.244432267,1.3389992046,2.4204622526,0.0,0.0,45.12,45.41,yes,no
vm2_rndm,ligand,guest-s16,15.8749322757,6.9383466261,8.9365856497,-0.0395473071,-2.8587406444,9.8366719205,-4.4537910589,1.5950504144,6.5435651514,-7.5883564313,1.0052439728,-2.2059747526,3.2112187254,0.0627166589,0.8846286634,5.596219829,0.0,0.0,2.66,2.85,yes,no
vm2_rndm,ligand,guest-s17,60.2517587798,29.9335506195,30.3182081603,11.35864897,-1.9926815982,20.5675867429,-4.1230062832,2.130324685,17.157130537,-8.5560285437,2.7575469766,-12.6195517735,15.3770987501,0.4248660099,5.0557966246,11.6764679026,0.0,0.0,42.66,43.01,yes,no
vm2_rndm,ligand,guest-s18,-35.9930822352,-45.1782136473,9.1851314121,6.8548201659,-64.5522954845,12.5194006261,-66.4762109665,1.923915482,6.4384377948,-0.0848490707,0.5012314419,-4.4946988935,4.9959303354,0.0859069815,2.3487615768,4.0032055874,0.000563649,0.0,3.67,3.84,yes,no
vm2_rndm,ligand,guest-s19,-29.8686021867,-39.7756882205,9.9070860338,9.4769067122,-62.6662187221,13.413643528,-64.7268321161,2.060613394,2.7093238085,5.9567158531,0.8108670506,-4.7732865169,5.5841535675,0.0690802392,2.6120964108,0.0281071488,4.00098e-05,0.0,3.65,3.86,yes,no
vm2_rndm,ligand,guest-s20,-27.8212303873,-36.3601775785,8.5389471912,14.0336943538,-63.8076242463,13.413643528,-65.883188386,2.0755641398,14.3827807804,-1.0065449871,0.6574585606,-4.7568840381,5.4143425987,0.0795901721,2.6482010144,11.6544843866,0.0005052073,0.0,4.29,4.52,yes,no
vm2_rndm,ligand,guest-s21,-17.6774966793,-35.8098689609,18.1323722816,6.8614314237,-60.5558585596,17.8848580373,-62.864433023,2.3085744634,7.5303827708,-1.4913453604,0.8223940132,-7.12096142,7.9433554332,0.1306535149,2.4791569114,4.9199419869,0.0006303577,0.0,16.34,16.48,yes,no
vm2_rndm,ligand,guest-s22,-23.0634312886,-36.3506942419,13.2872629533,7.6271614825,-60.0741207946,16.0963722336,-62.3058935614,2.2317727668,9.0561529445,-2.1912293487,0.7622378868,-6.467839579,7.2300774658,0.1196484718,2.5478818373,6.3878103829,0.0008122525,0.0,16.08,16.27,yes,no
vm2_rndm,ligand,guest-s9,52.7515757102,31.722448615,21.0291270952,69.9445664167,-54.318205657,16.0963722336,-56.226114278,1.907908621,1.1947814149,68.7134850372,0.0362999645,-3.8385924715,3.874892436,0.1235705736,0.5009407405,0.5702701009,0.0,0.0,9.28,9.56,yes,no
