" "
"VeraChem VCPack feprocess run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","294.4803082432"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","41","-1247.4224291905","0.1970920671","0.1970920671","0.0000000000","568.1078183634","369.3592331192","198.7485852443","237.9055265450","328.0569874366","-90.1514608916","-96.3093129381","6.1578520465","147.0603580539","205.7752808972","-24.7786515145","-179.3177612017","154.5391096872","4.5754425189","11.5279834379","130.9569320971","0.0000000000","0.0000000000"
"2","785","-1247.7279795946","0.1452012282","0.3422932953","0.1821575200","568.2899758835","371.1726005399","197.1173753435","239.7188939658","333.2898516578","-93.5709576921","-99.5983280336","6.0273703415","146.4923070349","212.5234758793","-25.7259312564","-178.0581907471","152.3322594908","4.6349295803","12.0447175383","129.8126599163","0.0000000000","0.0000000000"
"3","737","-1247.9475088522","0.1165815821","0.4588748773","0.3130325070","568.4208508704","371.3623578716","197.0584929988","239.9086512975","334.8591907945","-94.9505394970","-101.0051828150","6.0546433180","145.7367355192","215.2166393931","-26.0941841179","-178.7939057597","152.6997216418","4.6055253736","11.8876002285","129.2436099171","0.0000000000","0.0000000000"
"4","723","-1248.1300211516","0.0971327893","0.5560076666","0.4218393925","568.5296577559","368.6453503713","199.8843073846","237.1916437971","324.5633495439","-87.3717057468","-93.4445682814","6.0728625347","147.0973103231","204.1451839661","-26.6791447453","-185.9109293606","159.2317846153","4.7767740687","12.8283090185","129.4922272359","0.0000000000","0.0000000000"
"5","328","-1248.3832227156","0.0754052906","0.6314129572","0.5727885267","568.6806068901","370.1010137359","198.5795931542","238.6473071617","324.1432414810","-85.4959343192","-91.5933076542","6.0973733350","146.5659270074","202.7358288305","-25.1585143569","-179.4333023705","154.2747880136","4.6480382834","11.6101628030","130.3077259211","0.0000000000","0.0000000000"
"6","904","-1248.4183892303","0.0727996338","0.7042125911","0.5937534641","568.7015718275","371.1755425571","197.5260292705","239.7218359829","336.4430726269","-96.7212366439","-102.8098060636","6.0885694196","147.1939119054","216.1695885136","-26.9204277922","-178.5925084915","151.6720806994","4.5893052028","11.7176469937","130.8869597089","0.0000000000","0.0000000000"
"7","387","-1249.2337687785","0.0322117527","0.7364243438","1.0798517130","569.1876700764","369.9471773907","199.2404926857","238.4934708166","326.3852623937","-87.8917915771","-93.9577409343","6.0659493572","147.1856393613","205.5323877761","-26.3327647437","-184.0877402290","157.7549754853","4.9390310906","12.5134632633","129.7331450074","0.0000000000","0.0000000000"
"8","514","-1249.3633495963","0.0282968519","0.7647211957","1.1571028640","569.2649212274","370.4548283023","198.8100929251","239.0011217281","324.1471101815","-85.1450102104","-91.1738937958","6.0288835855","147.6679736654","202.8094994494","-26.3303629333","-184.0120055094","157.6816425761","4.7371708798","12.4218123622","130.5089904234","0.0000000000","0.0000000000"
"9","5","-1249.3816299580","0.0277842746","0.7925054703","1.1680009198","569.2758192832","370.0460250469","199.2297942363","238.5923184727","326.1037385883","-87.5114201155","-93.5567977205","6.0453776049","148.0952594275","203.8176206117","-25.8091414509","-183.3071675974","157.4980261465","4.7443158650","12.1138175213","131.2371260412","0.0000000000","0.0000000000"
"10","130","-1249.4939950023","0.0248313049","0.8173367752","1.2349886820","569.3428070454","370.9244741109","198.4183329346","239.4707675367","333.9594942423","-94.4887267055","-100.5164775856","6.0277508801","145.7794456821","215.4444820124","-27.2644334522","-181.5926220782","154.3281886259","4.6239174132","11.8890157683","129.2665125006","0.0000000000","0.0000000000"
"11","81","-1249.7340850784","0.0195312369","0.8368680121","1.3781212462","569.4859396097","370.2189460687","199.2669935410","238.7652394946","320.5690998641","-81.8038603695","-87.7894340939","5.9855737244","150.6405105522","195.8510058025","-25.9224164906","-181.7708827367","155.8484662461","4.6102452352","11.6550097831","134.3752555339","0.0000000000","0.0000000000"
"12","660","-1249.8547769422","0.0173106724","0.8541786845","1.4500731412","569.5578915047","371.7693906807","197.7885008240","240.3156841065","327.5041927765","-87.1885086699","-93.2881360029","6.0996273330","147.9763495949","204.6197717991","-25.0919286175","-181.1649049954","156.0729763779","4.8214285742","12.0686133781","131.0863076426","0.0000000000","0.0000000000"
"13","724","-1249.8984614196","0.0165707441","0.8707494286","1.4761161638","569.5839345272","371.6962685403","197.8876659869","240.2425619662","334.0004002869","-93.7578383207","-99.7763573177","6.0185189970","146.2659339196","214.5124061967","-26.7779398294","-181.0142845910","154.2363447616","4.6550361538","11.9246391692","129.6862585966","0.0000000000","0.0000000000"
"14","929","-1249.9906940796","0.0151107449","0.8858601736","1.5311017648","569.6389201283","370.7563745080","198.8825456202","239.3026679339","330.1694282250","-90.8667602911","-96.9163346391","6.0495743480","147.0729169809","208.7323630852","-25.6358518412","-181.4327589152","155.7969070740","4.7809705743","12.9941293823","129.2978170244","0.0000000000","0.0000000000"
"15","61","-1250.3221553158","0.0108476107","0.8967077842","1.7287063366","569.8365247001","369.7798049633","200.0567197368","238.3260983891","326.1100016729","-87.7839032838","-93.8468768018","6.0629735181","148.8876625454","203.4061994488","-26.1838603213","-185.4658350017","159.2819746804","4.8591062825","12.4842697314","131.5442865316","0.0000000000","0.0000000000"
"16","741","-1250.4277061761","0.0097609915","0.9064687757","1.7916317417","569.8994501052","370.4470515182","199.4523985870","238.9933449440","327.8138999056","-88.8205549615","-94.8480969040","6.0275419425","147.7931925346","205.7508421310","-25.7301347600","-183.0681121860","157.3379774260","4.7391235582","12.2184973940","130.8355715824","0.0000000000","0.0000000000"
"17","577","-1250.4538654367","0.0095089620","0.9159777377","1.8072268971","569.9150452605","373.0161445309","196.8989007297","241.5624379567","331.6326570647","-90.0702191080","-96.1230383482","6.0528192402","148.8285567745","208.3511618814","-25.5470615912","-178.8187482160","153.2716866248","4.7057741312","12.5327011218","131.5900815215","0.0000000000","0.0000000000"
"18","99","-1250.6425709591","0.0078737087","0.9238514463","1.9197259464","570.0275443098","369.6764938335","200.3510504763","238.2227872594","321.4836417573","-83.2608544980","-89.2130899685","5.9522354706","149.9249678579","199.1120572584","-27.5533833590","-187.9558329383","160.4024495794","4.7442400266","12.5165305095","132.6641973219","0.0000000000","0.0000000000"
"19","868","-1250.7327968287","0.0071944027","0.9310458491","1.9735151754","570.0813335388","372.3303648103","197.7509687285","240.8766582362","334.5810952750","-93.7056387357","-99.7394525175","6.0338137818","147.3475758271","213.8654605964","-26.6319411485","-179.4776419813","152.8457008328","4.6123571279","12.0134499509","130.7217687483","0.0000000000","0.0000000000"
"20","113","-1250.7797079002","0.0068646994","0.9379105485","2.0014817705","570.1093001340","373.0713068302","197.0379933038","241.6176002560","335.9595924905","-94.3419922345","-100.4354402628","6.0934480284","145.7915591257","215.7190673630","-25.5510339981","-176.6898001228","151.1387661247","4.5635274235","11.5055341566","129.7224975456","0.0000000000","0.0000000000"
"21","497","-1250.9788926153","0.0056249246","0.9435354731","2.1202281156","570.2280464790","373.2907314079","196.9373150711","241.8370248338","336.7856858800","-94.9486610462","-100.9954958771","6.0468348309","147.1475086168","215.6826185794","-26.0444413162","-178.0537350363","152.0092937202","4.6258231605","12.3565227979","130.1651626584","0.0000000000","0.0000000000"
