" "
"VeraChem VCPack feprocess run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","290.7990615638"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","545","-1225.5570770658","0.3735953931","0.3735953931","0.0000000000","557.2671468827","364.9351620310","192.3319848516","236.1641841625","325.3206519323","-89.1564677699","-95.1304366658","5.9739688959","145.5269556468","203.4705545074","-23.6768582219","-177.4558890576","153.7790308357","4.7948758024","13.0272032868","127.7048765576","0.0000000000","0.0000000000"
"2","837","-1225.9794183178","0.2448956308","0.6184910239","0.2517837778","557.5189306605","365.7139003256","191.8050303349","236.9429224571","329.8476951455","-92.9047726884","-99.0302305135","6.1254578250","146.8218969659","205.8931043082","-22.8673061286","-174.9408307808","152.0735246522","4.7001838959","12.2072632125","129.9144498575","0.0000000000","0.0000000000"
"3","497","-1226.6269930468","0.1281571691","0.7466481930","0.6378431811","557.9049900637","366.3479101317","191.5570799320","237.5769322631","333.8801647196","-96.3032324565","-102.3003098746","5.9970774182","145.3346482777","211.9835276214","-23.4380111794","-173.4423346090","150.0043234295","4.6558341656","12.0974410967","128.5813730155","0.0000000000","0.0000000000"
"4","897","-1226.9265510856","0.0949831356","0.8416313285","0.8164282810","558.0835751636","366.0082861532","192.0752890104","237.2373082847","327.1862599914","-89.9489517067","-95.9335590019","5.9846072952","146.0447260431","204.8627486603","-23.7212147121","-177.5152093130","153.7939946009","4.7948195033","13.2337598505","128.0161466893","0.0000000000","0.0000000000"
"5","136","-1227.0883819142","0.0807912386","0.9224225671","0.9129056609","558.1800525435","365.4225245490","192.7575279945","236.6515466805","325.2785388875","-88.6269922070","-94.6412101637","6.0142179567","145.5967369440","203.8899707958","-24.2081688524","-177.3211937908","153.1130249384","4.6983998425","11.5563795341","129.3419575675","0.0000000000","0.0000000000"
"6","517","-1228.2538497014","0.0251888325","0.9476113996","1.6077131915","558.8748600742","364.4526092148","194.4222508594","235.6816313463","323.4434392861","-87.7659340065","-93.8456938960","6.0797598894","146.8287930422","199.6133475491","-22.9987013052","-178.5111309142","155.5124296089","4.7716020774","12.0838471365","129.9733438283","0.0000000000","0.0000000000"
"7","903","-1229.0285495639","0.0116080738","0.9592194734","2.0695597603","559.3367066430","364.9320618590","194.4046447840","236.1610839905","324.7456819379","-88.5845979474","-94.6684953912","6.0838974437","146.7782004437","201.9702563946","-24.0027749004","-180.0847908604","156.0820159600","4.8251657841","12.4107422993","129.5422923603","0.0000000000","0.0000000000"
"8","373","-1229.1749143459","0.0100275479","0.9692470213","2.1568168719","559.4239637545","365.0476720908","194.3762916637","236.2766942223","323.4691552317","-87.1924610095","-93.2970694635","6.1046084540","146.1620285557","199.5690287859","-22.2619021099","-178.0541080562","155.7922059463","4.8144639601","12.1451770384","129.2023875572","0.0000000000","0.0000000000"
"9","355","-1229.4692626538","0.0074706932","0.9767177145","2.3322961286","559.5994430112","366.8807110861","192.7187319251","238.1097332176","324.3156923291","-86.2059591115","-92.2672488741","6.0612897626","147.6387866313","201.1491943123","-24.4722886145","-178.5879231216","154.1156345071","4.6633935708","12.1392333598","130.8361597006","0.0000000000","0.0000000000"
"10","282","-1229.6562841237","0.0061963866","0.9829141011","2.4437912098","559.7109380925","367.6652549530","192.0456831395","238.8942770844","333.8443243646","-94.9500472802","-100.9959384619","6.0458911817","145.3329817564","213.0047880236","-24.4934454154","-176.2844190975","151.7909736821","4.6832219206","12.2139069036","128.4358529322","0.0000000000","0.0000000000"
