" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","30.3974726802"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","119","-56.2386704532","0.2802226904","0.2802226904","0.0000000000","15.4055384561","-2.4524200482","17.8579585043","-15.8660635761","44.6641146542","-60.5299357698","-62.3081199708","1.7781842010","0.8716352103","43.6481090945","0.1443703495","-2.3702611802","2.5146315296","0.0803748733","0.3754784671","0.4157818699","0.0000000000","0.0000000000"
"2","274","-56.8208760926","0.1565505515","0.4367732418","0.3470888403","15.7526272964","-2.2021942511","17.9548215475","-15.6158377791","45.2780239090","-60.8938616881","-62.6434491736","1.7495874855","0.9931347123","44.0335696780","0.2513195187","-2.8554713761","3.1067908948","0.1012329428","0.4341900476","0.4577117218","0.0000000000","0.0000000000"
"3","249","-56.8583334614","0.1507950457","0.5875682875","0.3694194978","15.7749579539","-2.1798923301","17.9548502839","-15.5935358580","45.2780908383","-60.8716266963","-62.6136495835","1.7420228872","0.9930336856","44.0336218498","0.2514353029","-2.8555739912","3.1070092941","0.1012144391","0.4341074942","0.4577117523","0.0000000000","0.0000000000"
"4","82","-56.8634400061","0.1500269668","0.7375952544","0.3724638253","15.7780022814","-2.1766437122","17.9546459936","-15.5902872402","45.1743963052","-60.7646835454","-62.5184437052","1.7537601598","1.1612557434","43.7889361312","0.2242044306","-2.8966959882","3.1209004188","0.1003327540","0.4998257608","0.5610972285","0.0000000000","0.0000000000"
"5","69","-56.9242662485","0.1411733848","0.8787686392","0.4087261157","15.8142645718","-2.1404323696","17.9546969414","-15.5540758976","45.1744002457","-60.7284761433","-62.4868962831","1.7584201398","1.1611691137","43.7889354621","0.2242956699","-2.8968045890","3.1211002588","0.1003345872","0.4998657887","0.5609687378","0.0000000000","0.0000000000"
"6","234","-57.7732266712","0.0604023730","0.9391710122","0.9148440037","16.3203824598","-1.8103035146","18.1306859744","-15.2239470426","45.6965477314","-60.9204947739","-62.6322455162","1.7117507422","1.2625970836","44.1792150069","0.2547356408","-3.5519041333","3.8066397740","0.1252013844","0.6159388594","0.5214568399","0.0000000000","0.0000000000"
"7","113","-57.8472453847","0.0560929243","0.9952639365","0.9589711431","16.3645095992","-1.7661712102","18.1306808094","-15.1798147382","45.6965638946","-60.8763786328","-62.5867375615","1.7103589287","1.2626317068","44.1792047446","0.2547274432","-3.5518967852","3.8066242284","0.1252005230","0.6159718037","0.5214593801","0.0000000000","0.0000000000"
"8","19","-60.9700603680","0.0024699421","0.9977338786","2.8206745648","18.2262130209","0.2106222177","18.0155908032","-13.2030213103","47.4232539594","-60.6262752697","-62.3278067414","1.7015314718","2.4138431444","44.8312813524","0.1781294626","-3.7432299341","3.9213593967","0.1379250053","0.9408444014","1.3350737377","0.0000000000","0.0000000000"
"9","53","-61.0561853118","0.0022661214","1.0000000000","2.8720189780","18.2775574341","0.2614688291","18.0160886049","-13.1521746988","47.4232021252","-60.5753768240","-62.2619662438","1.6865894197","2.4142294972","44.8309620827","0.1780105453","-3.7432069802","3.9212175255","0.1379175548","0.9405657723","1.3357461701","0.0000000000","0.0000000000"
