" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","37.7599660391"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","242","-101.3605739978","0.1198137628","0.1198137628","0.0000000000","37.9162614810","10.3960037566","27.5202577244","-8.3830971826","46.6038678892","-54.9860226176","-57.1624253984","2.1764027808","1.7268736533","44.4343014626","0.4426927732","-4.6228529386","5.0655457118","0.1123197258","0.3864369706","1.2281169570","0.0000000000","0.0000000000"
"2","674","-101.8470796122","0.0736580138","0.1934717765","0.2900361283","38.2062976092","10.5838467212","27.6224508880","-8.1952542180","47.2880123763","-55.4832665943","-57.6319885923","2.1487219980","1.8327550103","44.9076533826","0.5476039834","-5.1417076205","5.6893116040","0.1329982143","0.4307595817","1.2689972143","0.0000000000","0.0000000000"
"3","745","-101.8751684273","0.0716178347","0.2650896112","0.3067816106","38.2230430915","10.6004448989","27.6225981926","-8.1786560402","47.2881452764","-55.4668013166","-57.5997804463","2.1329791297","1.8326845268","44.9077632166","0.5476975329","-5.1417998314","5.6894973643","0.1330228276","0.4307559070","1.2689057923","0.0000000000","0.0000000000"
"4","707","-102.1360230155","0.0551738739","0.3202634851","0.4622931866","38.3785546675","10.7602678054","27.6182868621","-8.0188331338","47.3745710265","-55.3934041603","-57.5450249517","2.1516207915","2.0323361019","44.8428466321","0.4993882925","-5.2179783540","5.7173666466","0.1352620088","0.5144145409","1.3826595522","0.0000000000","0.0000000000"
"5","692","-102.2495066322","0.0492547557","0.3695182408","0.5299477990","38.4462092800","10.8281363307","27.6180729493","-7.9509646085","47.3746682525","-55.3256328610","-57.4915837194","2.1659508584","2.0321166621","44.8429410321","0.4996105584","-5.2181708963","5.7177814547","0.1352278988","0.5142466247","1.3826421386","0.0000000000","0.0000000000"
"6","229","-102.3775205847","0.0433363586","0.4128545995","0.6062648446","38.5225263255","10.8922609639","27.6302653617","-7.8868399753","47.2641596993","-55.1509996746","-57.3133514248","2.1623517501","2.2337165613","44.4505260657","0.5799170723","-5.2343610980","5.8142781703","0.1477282119","0.6295730262","1.4564153233","0.0000000000","0.0000000000"
"7","714","-102.4320561728","0.0410362731","0.4538908725","0.6387768863","38.5550383673","10.9247871648","27.6302512024","-7.8543137743","47.2641114742","-55.1184252485","-57.2838960375","2.1654707890","2.2340145694","44.4505038439","0.5795930608","-5.2340702224","5.8136632833","0.1477693675","0.6296900943","1.4565551076","0.0000000000","0.0000000000"
"8","679","-102.5816210591","0.0353356192","0.4892264918","0.7279417783","38.6442032592","11.0251162495","27.6190870097","-7.7539846897","47.5618063141","-55.3157910038","-57.4722760443","2.1564850405","2.2733002839","44.7226405799","0.5658654503","-5.2659125111","5.8317779614","0.1506926496","0.6566246746","1.4659829597","0.0000000000","0.0000000000"
"9","511","-102.5940058858","0.0349006925","0.5241271843","0.7353251405","38.6515866215","11.0323342209","27.6192524006","-7.7467667183","47.5617571151","-55.3085238333","-57.4527558235","2.1442319901","2.2733269353","44.7225798310","0.5658503488","-5.2658562752","5.8317066239","0.1506700007","0.6565689440","1.4660879906","0.0000000000","0.0000000000"
"10","713","-102.8348704648","0.0274301313","0.5515573157","0.8789194339","38.7951809149","11.0608857030","27.7342952118","-7.7182152361","47.9553410503","-55.6735562864","-57.7937704076","2.1202141212","2.3396199884","44.9390385030","0.6766825589","-5.7634434845","6.4401260434","0.1681990125","0.6727388129","1.4986821630","0.0000000000","0.0000000000"
"11","777","-102.9017186863","0.0256564210","0.5772137367","0.9187717989","38.8350332799","11.1066279148","27.7284053650","-7.6724730243","48.0832070165","-55.7556800408","-57.8940537309","2.1383736901","2.3382151572","45.0689133132","0.6760785461","-5.7726844951","6.4487630412","0.1697210703","0.6705084943","1.4979855926","0.0000000000","0.0000000000"
