" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","42.1769439513"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","97","2.5450737622","0.1429357024","0.1429357024","0.0000000000","-26.6615645982","-36.8265947432","10.1650301450","-50.2402382712","14.0069633153","-64.2465489337","-66.2843923437","2.0378434100","12.9983331393","-0.4049320777","1.4135622537","-5.6824788039","7.0960410576","0.1466579753","3.3669659998","9.4839167711","0.0007923931","0.0000000000"
"2","147","2.3994782174","0.1235689563","0.2665046586","0.0867985216","-26.5747660766","-36.4342651983","9.8594991217","-49.8479087262","14.4647232152","-64.3126319414","-66.4051376597","2.0925057183","14.0719301398","-0.1988703614","0.5916634368","-5.0193071209","5.6109705577","0.0846683863","2.7482896651","11.2377973171","0.0011747713","0.0000000000"
"3","183","2.3556423524","0.1182692123","0.3847738709","0.1129317957","-26.5486328025","-36.4084016651","9.8597688626","-49.8220451930","14.4646387789","-64.2866839720","-66.3676606709","2.0809766990","14.0720383844","-0.1989785827","0.5915789772","-5.0193099257","5.6108889029","0.0846833041","2.7483293244","11.2378507585","0.0011749974","0.0000000000"
"4","176","2.3372387557","0.1161125395","0.5008864104","0.1239033195","-26.5376612787","-36.5119504313","9.9742891526","-49.9255939593","13.8629626010","-63.7885565603","-65.8588254656","2.0702689053","14.1169807431","-1.2277035581","0.9736854160","-4.8849108942","5.8585963101","0.0940063199","2.8174914346","11.2053404889","0.0001424998","0.0000000000"
"5","42","2.2649937245","0.1080198339","0.6089062443","0.1669730571","-26.4945915411","-36.1305756602","9.6359841191","-49.5442191882","13.6654456959","-63.2096648841","-65.2973528279","2.0876879437","15.2265784333","-1.8224277071","0.2612949697","-4.1645443414","4.4258393112","0.0439687699","2.2292991755","12.9532104356","0.0001000523","0.0000000000"
"6","129","2.2499666771","0.1064087500","0.7153149943","0.1759316107","-26.4856329875","-36.4603424255","9.9747094380","-49.8739859535","13.8636795812","-63.7376655346","-65.8012409714","2.0635754367","14.1167888742","-1.2267735944","0.9736643013","-4.8849694018","5.8586337032","0.0940331567","2.8174372809","11.2050972287","0.0002212080","0.0000000000"
"7","93","2.2402921960","0.1053842642","0.8206992586","0.1816991681","-26.4798654301","-36.1159636430","9.6360982129","-49.5296071710","13.6661108273","-63.1957179983","-65.2991549437","2.1034369454","15.2262787203","-1.8214173081","0.2612494151","-4.1647910914","4.4260405065","0.0439638021","2.2292451697","12.9529849717","0.0000847768","0.0000000000"
"8","7","2.1193020224","0.0933749544","0.9140742130","0.2538289041","-26.4077356941","-36.0540377697","9.6463020755","-49.4676812976","14.1212134683","-63.5888947660","-65.6595612926","2.0706665266","15.2297347406","-1.3327827924","0.2242615201","-4.2119725889","4.4362341090","0.0438533039","2.2297099856","12.9559054276","0.0002660235","0.0000000000"
"9","153","2.0361628485","0.0859257870","1.0000000000","0.3033933148","-26.3581712834","-36.0049969637","9.6468256804","-49.4186404917","14.1216565563","-63.5402970480","-65.6216703607","2.0813733127","15.2295553899","-1.3320902699","0.2241914364","-4.2120960660","4.4362875023","0.0438788955","2.2297374207","12.9556795909","0.0002594828","0.0000000000"
