" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","45.8581906307"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","423","-9.1406186477","0.1367742343","0.1367742343","0.0000000000","-21.8896187463","-37.1387469010","15.2491281547","-53.2351191346","6.5717725659","-59.8032668963","-62.0377435713","2.2344766750","7.9888533760","-2.6977571793","1.2806763692","-6.4668454421","7.7475218113","0.1361261823","2.8542375459","4.9976015859","0.0008880619","0.0000000000"
"2","514","-9.1530581003","0.1350833762","0.2718576106","0.0074159281","-21.8822028182","-36.7739138121","14.8917109939","-52.8702860456","6.6324855883","-59.5027716340","-61.7581506551","2.2553790211","9.0758454374","-3.0076282942","0.5642684450","-5.7728997926","6.3371682377","0.0838802891","2.2385948657","6.7524470887","0.0009231939","0.0000000000"
"3","74","-9.2544311422","0.1220607837","0.3939183943","0.0678506769","-21.8217680695","-36.7144222472","14.8926541777","-52.8107944808","6.6325334498","-59.4433279306","-61.7025331607","2.2592052301","9.0757138504","-3.0074224117","0.5642420112","-5.7729430069","6.3371850181","0.0839152507","2.2388222348","6.7521386760","0.0008376889","0.0000000000"
"4","692","-10.1704610894","0.0488370478","0.4427554420","0.6139528623","-21.2756658840","-36.3078448890","15.0321790051","-52.4042171226","7.8280005876","-60.2322177102","-62.4857420449","2.2535243347","9.3005773382","-2.0804370445","0.6078602939","-6.3411507656","6.9490110595","0.1034753864","2.3336905783","6.8623565012","0.0010548723","0.0000000000"
"5","132","-10.2100963977","0.0469392350","0.4896946770","0.6375819244","-21.2520368219","-36.2844460520","15.0324092301","-52.3808182856","7.8278835899","-60.2087018755","-62.4507464725","2.2420445971","9.3003171736","-2.0804329607","0.6079993770","-6.3412118103","6.9492111874","0.1034781334","2.3336196493","6.8622473203","0.0009720706","0.0000000000"
"6","182","-10.3756571510","0.0397771704","0.5294718473","0.7362829434","-21.1533358029","-36.1592995867","15.0059637838","-52.2556718203","7.4913078582","-59.7469796785","-61.9732689095","2.2262892310","9.6039933652","-2.7987626901","0.6860771831","-6.4345694904","7.1206466735","0.1240905566","2.4928836972","6.9860674682","0.0009516432","0.0000000000"
"7","679","-10.4000754208","0.0388176434","0.5682894907","0.7508401864","-21.1387785600","-36.2505576146","15.1117790547","-52.3469298482","8.4279530466","-60.7748828948","-62.9828168200","2.2079339252","9.2305818222","-1.3041492779","0.5015205023","-6.5149963897","7.0165168920","0.1028061317","2.3281194721","6.7991625969","0.0004936216","0.0000000000"
"8","541","-10.4156610222","0.0382173373","0.6065068280","0.7601317286","-21.1294870177","-36.2411662058","15.1116791881","-52.3375384393","8.4284296250","-60.7659680644","-62.9751568711","2.2091888068","9.2304565232","-1.3034590442","0.5014321461","-6.5150739939","7.0165061400","0.1028165617","2.3282596921","6.7989317925","0.0004484768","0.0000000000"
"9","628","-10.4329068998","0.0375638965","0.6440707245","0.7704130643","-21.1192056820","-36.1254748790","15.0062691971","-52.2218471126","7.4914846172","-59.7133317298","-61.9471533280","2.2338215982","9.6037097265","-2.7984346774","0.6862095681","-6.4348011993","7.1210107673","0.1241115814","2.4929627978","6.9857813494","0.0008539979","0.0000000000"
"10","312","-10.4668153793","0.0363115151","0.6803822395","0.7906280091","-21.0989907372","-36.4550447686","15.3560540314","-52.5514170022","7.4275735680","-59.9789905702","-62.1771250213","2.1981344511","8.5485349860","-2.5404229051","1.4194614872","-7.1154989817","8.5349604689","0.1837139869","3.1124208335","5.2514461971","0.0009539686","0.0000000000"
