" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","34.3251594295"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","134","-85.0123208308","0.3623501287","0.3623501287","0.0000000000","30.2177561992","15.5472339868","14.6705222124","3.0278333607","5.8937188076","-2.8658854469","-4.6071068219","1.7412213750","13.7803196352","-8.5182501177","0.6316492901","-3.3019024041","3.9335516942","0.0538659627","4.0304288099","9.6960248626","0.0000000000","0.0000000000"
"2","58","-85.0411038344","0.3520692704","0.7144193991","0.0171593311","30.2349155303","15.5636421477","14.6712733826","3.0442415216","5.8937019251","-2.8494604035","-4.5922970617","1.7428366582","13.7803260476","-8.5182546073","0.6316304849","-3.3018804342","3.9335109190","0.0538615348","4.0305312465","9.6959332662","0.0000000000","0.0000000000"
"3","20","-85.2504074774","0.2855806009","1.0000000000","0.1419381959","30.3596943951","15.0468822191","15.3128121759","2.5274815930","4.5082805844","-1.9808023824","-3.7124260866","1.7316237042","14.7054918324","-10.6874194760","0.4902082280","-3.7446318633","4.2348400913","0.0675307726","3.9014062916","10.7365547682","0.0000000000","0.0000000000"
