" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","41.6876527883"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","1160","-121.1334580237","0.0487071877","0.0487071877","0.0000000000","47.3625649431","20.6941686038","26.6683963393","2.8093105666","4.5303722525","-1.7209785725","-3.7226913885","2.0017128160","12.2236089882","-9.7547603620","2.0615236264","-9.1955445680","11.2570681944","0.2162349231","2.7542109901","9.2531630749","0.0000000000","0.0000000000"
"2","2585","-121.1559228937","0.0476251861","0.0963323738","0.0133927004","47.3759576435","20.7076426649","26.6683149786","2.8227846277","4.5303683749","-1.7075837473","-3.7120732695","2.0044895222","12.2238149704","-9.7547829400","2.0613363445","-9.1953796096","11.2567159541","0.2162215492","2.7544312717","9.2531621495","0.0000000000","0.0000000000"
"3","571","-121.1738791144","0.0467776498","0.1431100236","0.0240975157","47.3866624588","20.7181789686","26.6684834902","2.8333209313","4.5303843192","-1.6970633879","-3.6987752198","2.0017118319","12.2238290697","-9.7547910708","2.0613463203","-9.1952784089","11.2566247292","0.2162132056","2.7543967676","9.2532190965","0.0000000000","0.0000000000"
"4","2388","-121.3096582953","0.0408385439","0.1839485675","0.1050438948","47.4676088379","20.4542893816","27.0133194563","2.5694313443","3.9218072049","-1.3523809698","-3.3321855871","1.9798046174","12.5706859603","-10.5805725359","1.9316937804","-10.4827948270","12.4144886074","0.2679024751","3.7280239432","8.5747595420","0.0000000000","0.0000000000"
"5","2139","-121.3112812998","0.0407723165","0.2247208841","0.1060114683","47.4685764114","20.4553714799","27.0132049315","2.5705134426","3.9218204161","-1.3512963242","-3.3480086720","1.9967123479","12.5709465702","-10.5805664915","1.9314403374","-10.4826038899","12.4140442273","0.2679064722","3.7283358018","8.5747042962","0.0000000000","0.0000000000"
"6","1995","-121.3131517403","0.0406961256","0.2654170097","0.1071265538","47.4696914969","20.4564683229","27.0132231740","2.5716102856","3.9218120983","-1.3501416968","-3.3447517826","1.9946100858","12.5708066612","-10.5805089231","1.9315143602","-10.4826335111","12.4141478713","0.2678837825","3.7282371787","8.5746857000","0.0000000000","0.0000000000"
"7","124","-121.3603443259","0.0388201837","0.3042371933","0.1352609769","47.4978259200","20.4845740859","27.0132518341","2.5997160486","3.9218050945","-1.3220439442","-3.3016286754","1.9795847312","12.5707308316","-10.5806424761","1.9317167389","-10.4827173710","12.4144341099","0.2678966404","3.7279370859","8.5748971053","0.0000000000","0.0000000000"
"8","1799","-121.5781193491","0.0312233211","0.3354605144","0.2650901560","47.6276550991","20.9701463361","26.6575087630","3.0852882988","5.4333438232","-2.3480555244","-4.3575927861","2.0095372617","11.9025690635","-8.7193111203","2.2500858800","-8.9257228796","11.1758087596","0.2228131955","2.4709655369","9.2087903310","0.0000000000","0.0000000000"
"9","1339","-121.6212905627","0.0299040545","0.3653645689","0.2908271902","47.6533921333","20.9961426701","26.6572494632","3.1112846328","5.4333458687","-2.3220612359","-4.3483323767","2.0262711408","11.9027509597","-8.7192612657","2.2498561748","-8.9255632430","11.1754194178","0.2228073108","2.4713038180","9.2086398308","0.0000000000","0.0000000000"
"10","2314","-121.6362245813","0.0294607849","0.3948253538","0.2997302837","47.6622952268","20.9992686834","26.6630265433","3.1144106461","5.4112857688","-2.2968751227","-4.2997727068","2.0028975841","11.9087636902","-8.7332631283","2.2357852070","-8.9360745911","11.1718597981","0.2232729776","2.4576047028","9.2278860098","0.0000000000","0.0000000000"
