" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","41.4412127185"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","906","-168.0276420967","0.0711544141","0.0711544141","0.0000000000","75.4660106293","43.3035063143","32.1625043150","21.8416766695","70.3575310084","-48.5154489317","-50.8562552114","2.3408062797","1.7142772239","68.4804306837","0.1628231007","-5.2683571429","5.4311802436","0.1260030030","0.3503400855","1.2379341355","0.0000000000","0.0000000000"
"2","994","-168.5156825757","0.0436765735","0.1148309876","0.2909511561","75.7569617854","43.4234472969","32.3335144885","21.9616176521","70.7452889762","-48.7836713241","-51.1127211860","2.3290498619","1.9929711170","68.3231904602","0.4291273990","-5.9730698643","6.4021972633","0.1613871126","0.4718016409","1.3597823635","0.0000000000","0.0000000000"
"3","37","-168.5247068811","0.0432841959","0.1581151835","0.2963311034","75.7623417327","43.4290651350","32.3332765978","21.9672354902","70.7453027838","-48.7780672936","-51.1147025701","2.3366352765","1.9927025563","68.3232004729","0.4293997546","-5.9732879103","6.4026876649","0.1613306939","0.4718405696","1.3595312928","0.0000000000","0.0000000000"
"4","484","-168.8288566683","0.0319329308","0.1900481143","0.4776536290","75.9436642583","43.6887598284","32.2549044298","22.2269301837","71.1424529474","-48.9155227637","-51.2525370732","2.3370143096","1.8350490249","69.1014218789","0.2059820436","-5.8487559688","6.0547380123","0.1423864039","0.4132156352","1.2794469859","0.0000000000","0.0000000000"
"5","485","-168.9698422483","0.0277338090","0.2177819233","0.5617038651","76.0277144944","43.7676447937","32.2600697007","22.3058151489","71.1376323801","-48.8318172312","-51.1759995236","2.3441822924","2.0157679843","68.9320652684","0.1897991274","-5.9021131093","6.0919122368","0.1489364770","0.4769378201","1.3898936871","0.0000000000","0.0000000000"
"6","1096","-169.0215487847","0.0263362331","0.2441181563","0.5925293339","76.0585399632","43.7983475133","32.2601924498","22.3365178686","71.1376047548","-48.8010868863","-51.1359984082","2.3349115219","2.0158293679","68.9320367977","0.1897385892","-5.9020601059","6.0917986952","0.1489259586","0.4769191889","1.3899842204","0.0000000000","0.0000000000"
"7","775","-169.0245030379","0.0262585440","0.2703767003","0.5942905472","76.0603011765","43.5807538397","32.4795473368","22.1189241949","71.4794851226","-49.3605609277","-51.6544176012","2.2938566735","2.0846831883","68.9993430023","0.3954589320","-6.7525496186","7.1480085505","0.1839010109","0.5760051225","1.3247770550","0.0000000000","0.0000000000"
"8","1288","-169.0878513170","0.0246467031","0.2950234034","0.6320563798","76.0980670091","43.6187344151","32.4793325941","22.1569047703","71.4793362617","-49.3224314914","-51.5985958629","2.2761643715","2.0846651352","68.9992892943","0.3953818323","-6.7522077668","7.1475895991","0.1839140838","0.5759579255","1.3247931259","0.0000000000","0.0000000000"
"9","760","-169.1621335684","0.0228822360","0.3179056394","0.6763406305","76.1423512598","43.8700384245","32.2723128353","22.4082087797","71.0351726531","-48.6269638734","-50.9358519053","2.3088880318","2.2227109332","68.5159089925","0.2965527274","-5.8815585242","6.1781112517","0.1616486212","0.5957427789","1.4653195331","0.0000000000","0.0000000000"
"10","472","-169.1784443178","0.0225120369","0.3404176763","0.6860644784","76.1520751077","43.8797886658","32.2722864419","22.4179590210","71.0351219054","-48.6171628844","-50.9417797796","2.3246168952","2.2227572352","68.5158481955","0.2965164747","-5.8814842305","6.1780007052","0.1616862951","0.5956871868","1.4653837533","0.0000000000","0.0000000000"
"11","857","-169.2741995140","0.0204563827","0.3608740590","0.7431500815","76.2091607107","43.7833263537","32.4258343571","22.3214967089","71.5114865242","-49.1899898153","-51.4789825714","2.2889927561","2.2906877387","68.7838596321","0.4369391534","-6.6149172445","7.0518563979","0.1848576043","0.5861129600","1.5197171744","0.0000000000","0.0000000000"
"12","230","-169.2769204059","0.0204007987","0.3812748577","0.7447721736","76.2107828029","43.7849687002","32.4258141027","22.3231390555","71.5115054139","-49.1883663585","-51.4784196992","2.2900533407","2.2906680479","68.7838719177","0.4369654483","-6.6149635667","7.0519290150","0.1848460957","0.5860542612","1.5197676910","0.0000000000","0.0000000000"
"13","158","-169.3009924747","0.0199155729","0.4011904306","0.7591230247","76.2251336540","43.9642613795","32.2608722745","22.5024317348","71.3485703616","-48.8461386268","-51.1570772211","2.3109385943","2.2615037284","68.8070617862","0.2800048470","-5.9156404266","6.1956452736","0.1644224159","0.6221631988","1.4749181137","0.0000000000","0.0000000000"
"14","1230","-169.3144553381","0.0196492490","0.4208396797","0.7671490714","76.2331597007","43.9724568233","32.2607028774","22.5106271785","71.3485037075","-48.8378765290","-51.1512632665","2.3133867375","2.2615211765","68.8070382816","0.2799442495","-5.9155264812","6.1954707307","0.1643695442","0.6220704385","1.4750811937","0.0000000000","0.0000000000"
"15","1304","-169.3850613429","0.0183097392","0.4391494189","0.8092416838","76.2752523131","43.8473133760","32.4279389371","22.3854837313","71.6278655194","-49.2423817881","-51.5447259647","2.3023441765","2.3138250675","68.8227543215","0.4912861304","-6.5716060626","7.0628921930","0.1882681852","0.6063337259","1.5192231564","0.0000000000","0.0000000000"
"16","1270","-169.4420682972","0.0172951508","0.4564445697","0.8432270600","76.3092376893","43.8815027865","32.4277349028","22.4196731417","71.6278434368","-49.2081702951","-51.5159412567","2.3077709616","2.3138027860","68.8228025488","0.4912381021","-6.5715741536","7.0628122557","0.1882181261","0.6062308059","1.5193538540","0.0000000000","0.0000000000"
"17","573","-169.5431603666","0.0156322188","0.4720767885","0.9034943036","76.3695049329","43.9266831229","32.4428218100","22.4648534781","71.4293840476","-48.9645305695","-51.2368875580","2.2723569884","2.5008048213","68.3642393256","0.5643399008","-6.5857452967","7.1500851974","0.1970783085","0.7161871056","1.5875394072","0.0000000000","0.0000000000"
"18","1018","-169.5854474035","0.0149849604","0.4870617488","0.9287042254","76.3947148547","43.9519795298","32.4427353249","22.4901498850","71.4217666109","-48.9316167258","-51.2306991188","2.2990823929","2.5011364135","68.3588186791","0.5618115182","-6.5871674635","7.1489789817","0.1969597830","0.7168851079","1.5872915226","0.0000000000","0.0000000000"
"19","574","-169.5904587977","0.0149100527","0.5019718015","0.9316918278","76.3977024571","43.9549681161","32.4427343410","22.4931384714","71.4217167501","-48.9285782787","-51.2207316029","2.2921533242","2.5012973843","68.3587809304","0.5616384355","-6.5870016930","7.1486401285","0.1969829036","0.7169506167","1.5873638640","0.0000000000","0.0000000000"
