" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","42.1769439513"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","154","2.5430954804","0.1427133807","0.1427133807","0.0000000000","-26.6603852219","-36.8255732015","10.1651879795","-50.2392167294","14.0069118629","-64.2465473244","-66.2861077475","2.0395604231","12.9983553791","-0.4050481825","1.4136046664","-5.6824442946","7.0960489610","0.1466725832","3.3669583997","9.4839296440","0.0007947521","0.0000000000"
"2","39","2.4008076969","0.1237855341","0.2664989148","0.0848265603","-26.5755586616","-36.4353947883","9.8598361267","-49.8490383163","14.4647822779","-64.3138205942","-66.4063263124","2.0925057183","14.0719412955","-0.1988370661","0.5916780486","-5.0192396840","5.6109177325","0.0846875629","2.7483653575","11.2377130667","0.0011753083","0.0000000000"
"3","189","2.3531777685","0.1180278456","0.3845267603","0.1132217106","-26.5471635114","-36.4071762927","9.8600127813","-49.8208198207","14.4649323390","-64.2857521597","-66.3667288587","2.0809766990","14.0718223947","-0.1986377071","0.5917476515","-5.0193608709","5.6111085224","0.0846643058","2.7483035848","11.2376812324","0.0011732717","0.0000000000"
"4","128","2.3390353508","0.1163703943","0.5008971546","0.1216528816","-26.5387323403","-36.5131046716","9.9743723313","-49.9267481996","13.8629095576","-63.7896577572","-65.8599266625","2.0702689053","14.1170718810","-1.2278030638","0.9736407403","-4.8848873762","5.8585281165","0.0940088617","2.8176026581","11.2053182806","0.0001420806","0.0000000000"
"5","186","2.2597511132","0.1075003304","0.6083974850","0.1689191261","-26.4914660958","-36.1274904976","9.6360244017","-49.5411340256","13.6655821600","-63.2067161855","-65.2966584258","2.0899422402","15.2264586646","-1.8221643163","0.2612878117","-4.1645500669","4.4258378786","0.0439682444","2.2292545685","12.9531351616","0.0001006900","0.0000000000"
"6","43","2.2491995055","0.1063719924","0.7147694774","0.1752095930","-26.4851756290","-36.4595090944","9.9743334655","-49.8731526224","13.8638112296","-63.7369638520","-65.8022563018","2.0652924498","14.1166516447","-1.2265605650","0.9737201500","-4.8850774575","5.8587976075","0.0939742950","2.8173642182","11.2050923612","0.0002207703","0.0000000000"
"7","80","2.2435878660","0.1057767429","0.8205462203","0.1785550388","-26.4818301831","-36.1174701740","9.6356399908","-49.5311137019","13.6662713052","-63.1973850072","-65.3008219526","2.1034369454","15.2262714717","-1.8210952575","0.2610950911","-4.1648335006","4.4259285917","0.0439466084","2.2291860142","12.9530539064","0.0000849427","0.0000000000"
"8","48","2.1200351953","0.0934828505","0.9140290708","0.2522124380","-26.4081727839","-36.0550472197","9.6468744358","-49.4686907477","14.1209286127","-63.5896193605","-65.6602858870","2.0706665266","15.2297309401","-1.3331629929","0.2243606656","-4.2118182635","4.4361789290","0.0438719074","2.2297508931","12.9558414696","0.0002666700","0.0000000000"
"9","182","2.0362663988","0.0859709292","1.0000000000","0.3021522058","-26.3582330161","-36.0044808183","9.6462478022","-49.4181243463","14.1219632395","-63.5400875858","-65.6214608985","2.0813733127","15.2296437186","-1.3317279182","0.2240474391","-4.2122668676","4.4363143067","0.0438679515","2.2297130025","12.9558030712","0.0002596933","0.0000000000"
