" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","298.8736791419"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","26061","-1118.7685815409","0.0431487336","0.0431487336","0.0000000000","488.7901311637","301.5784492546","187.2116819091","173.7017142879","248.1098371341","-74.4081228461","-80.5556589144","6.1475360682","149.4003167508","123.1068439523","-24.3973235691","-178.5118530146","154.1145294455","4.5385259786","11.6598019293","133.2013411075","0.0006477354","0.0000000000"
"2","26073","-1118.9373901993","0.0364464627","0.0795951963","0.1006372964","488.8907684600","301.5001483908","187.3906200692","173.6234134241","247.8356309999","-74.2122175757","-80.3759559318","6.1637383561","149.1986789677","122.7230036346","-24.0860516025","-178.8091592447","154.7231076422","4.5654398637","11.7450318683","132.8875457446","0.0006614911","0.0000000000"
"3","25088","-1119.5718958845","0.0193238237","0.0989190200","0.4789054331","489.2690365968","302.1389378630","187.1300987338","174.2622028964","248.5148428744","-74.2526399780","-80.3730271482","6.1203871702","150.1136370159","123.0982663735","-24.6970605150","-178.0826698173","153.3856093023","4.5172355390","11.6068843472","133.9889875038","0.0005296260","0.0000000000"
"4","27350","-1119.6551896597","0.0177794794","0.1166984994","0.5285620113","489.3186931750","302.2225786514","187.0961145236","174.3458436847","251.2081275106","-76.8622838259","-83.0022818029","6.1399979770","149.1644401991","126.4004531866","-24.3567658751","-178.3605777048","154.0038118297","4.5534045432","11.7971435834","132.8132105658","0.0006815068","0.0000000000"
"5","28625","-1119.7693469469","0.0158613869","0.1325598864","0.5966182405","489.3867494041","302.4068902420","186.9798591621","174.5301552754","251.0358721480","-76.5057168726","-82.6445644542","6.1388475816","148.9313464515","126.6079731906","-24.5034474941","-178.3772402447","153.8737927506","4.5400939789","11.7466899076","132.6438531399","0.0007094251","0.0000000000"
"6","20982","-1119.7811924144","0.0156746098","0.1482344962","0.6036800573","489.3938112210","302.3778300193","187.0159812017","174.5010950526","249.7618760760","-75.2607810234","-81.3459926091","6.0852115857","150.3066730589","124.5978086287","-25.1426056116","-177.9880350621","152.8454294505","4.4990478243","11.5431182207","134.2640064080","0.0005006059","0.0000000000"
"7","19898","-1119.8035065567","0.0153287178","0.1635632140","0.6169828996","489.4071140632","302.2139439978","187.1931700655","174.3372090311","249.0458219393","-74.7086129082","-80.8359304149","6.1273175067","150.0628991788","123.8149815032","-24.8320587428","-178.2816903061","153.4496315634","4.5210094583","11.6160258400","133.9253518442","0.0005120363","0.0000000000"
"8","28633","-1119.8138098299","0.0151715927","0.1787348068","0.6231253188","489.4132564825","302.2898418534","187.1234146291","174.4131068867","251.6811021795","-77.2679952927","-83.4229576607","6.1549623679","149.1205137552","126.9345467303","-24.3739583060","-178.4396272191","154.0656689131","4.5555459574","11.8150538832","132.7492773608","0.0006365537","0.0000000000"
"9","27341","-1119.8434581346","0.0147283834","0.1934631901","0.6408005095","489.4309316732","302.3046611876","187.1262704856","174.4279262210","250.1670898754","-75.7391636545","-81.8715072484","6.1323435939","149.9787731956","124.6977336709","-24.5094169910","-178.1082118641","153.5987948731","4.5428218271","11.6584975614","133.7768849092","0.0005688979","0.0000000000"
"10","29911","-1119.9045708365","0.0138552438","0.2073184339","0.6772335761","489.4673647398","302.3927571329","187.0746076069","174.5160221662","250.9271435376","-76.4111213714","-82.5558233788","6.1447020074","148.9166841490","126.4936739682","-24.4832145796","-178.4871461855","154.0039316059","4.5502830973","11.8107377000","132.5550240494","0.0006393022","0.0000000000"
"11","12778","-1119.9686801013","0.0129948680","0.2203133019","0.7154530794","489.5055842431","301.7977693591","187.7078148841","173.9210343924","248.4198743814","-74.4894101089","-80.6732292354","6.1838191266","149.8632810423","122.9146397238","-24.3580463847","-179.9187394557","155.5606930710","4.6192393561","11.7749128211","133.4682647594","0.0008641057","0.0000000000"
"12","22613","-1120.0246426997","0.0122876158","0.2326009177","0.7488158503","489.5389470140","302.1039804651","187.4349665490","174.2272454984","249.4974943650","-75.2702488666","-81.4393163715","6.1690675049","150.1479295449","124.0708558986","-24.7212910786","-179.5932330321","154.8719419536","4.5839151824","11.6246155394","133.9385488378","0.0008499853","0.0000000000"
"13","19917","-1120.0397171273","0.0121037761","0.2447046938","0.7578026503","489.5479338140","301.9262456188","187.6216881951","174.0495106521","248.4572806302","-74.4077699781","-80.5728354888","6.1650655107","149.8973496912","122.9941430591","-24.4342121200","-179.9040334394","155.4698213194","4.6083220337","11.7108074116","133.5773765217","0.0008437242","0.0000000000"
"14","17563","-1120.0832392184","0.0115882933","0.2562929871","0.7837488643","489.5738800280","301.6832390944","187.8906409335","173.8065041278","247.7591201079","-73.9378253960","-80.1240598110","6.1862344150","149.6628772978","122.1537127569","-24.0574699467","-180.2033335216","156.1458635749","4.6462720373","11.8545061411","133.1611463912","0.0009527282","0.0000000000"
"15","22256","-1120.1082973407","0.0113015204","0.2675945075","0.7986875630","489.5888187267","302.6208240036","186.9679947230","174.7440890369","251.7133180542","-76.9692290173","-83.0492972144","6.0800681971","150.5569038970","126.4029073790","-25.2464932218","-177.5566456118","152.3101523900","4.4915445138","11.4581553328","134.6066606180","0.0005434324","0.0000000000"
"16","17855","-1120.1126690650","0.0112522211","0.2788467287","0.8012938186","489.5914249823","301.8251158978","187.7663090844","173.9483809312","247.9973392404","-74.0489583092","-80.2023802509","6.1534219417","149.8527781848","122.5913367588","-24.4467757032","-180.0273146707","155.5805389674","4.6262565175","11.8239749693","133.4017118511","0.0008348469","0.0000000000"
"17","17580","-1120.1132751343","0.0112454036","0.2900921323","0.8016551340","489.5917862977","302.0639046276","187.5278816701","174.1871696609","249.1888824771","-75.0017128162","-81.1462085294","6.1444957132","150.1614348937","123.7539303497","-24.7264827663","-179.6269341079","154.9004513416","4.5946492057","11.6652456599","133.9007175805","0.0008224475","0.0000000000"
