" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","295.1924324625"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","4483","-1103.4775882767","0.0129126357","0.0129126357","0.0000000000","481.8688421797","296.4049391620","185.4639030177","171.2109329009","234.0213271072","-62.8103942063","-68.8257487956","6.0153545893","150.5564761021","104.1294208580","-20.6645698530","-181.0849614726","160.4203916196","5.0794632544","12.1218789044","133.3545944206","0.0005395226","0.0000000000"
"2","9749","-1103.4864674007","0.0127984904","0.0257111261","0.0052933958","481.8741355755","296.5984754404","185.2756601351","171.4044691793","234.5506054168","-63.1461362375","-69.1630571825","6.0169209450","150.7765519288","104.7009220181","-20.9268685301","-180.7217505458","159.7948820157","5.0514866353","12.0503430294","133.6742570864","0.0004651777","0.0000000000"
"3","24065","-1103.5289977367","0.0122655790","0.0379767051","0.0306483632","481.8994905429","297.2235060325","184.6759845104","172.0294997714","234.9148629042","-62.8853631327","-68.8964964661","6.0111333334","150.7870951754","104.6566894730","-20.5289217443","-180.7877909979","160.2588692536","5.1120825822","12.3781776021","133.2944500150","0.0023849762","0.0000000000"
"4","17154","-1103.5556510073","0.0119429795","0.0499196846","0.0465380285","481.9153802082","297.0540672488","184.8613129594","171.8600609877","234.2900516443","-62.4299906566","-68.4690454262","6.0390547696","150.6584211080","103.9187468292","-20.2871162929","-181.2581768263","160.9710605333","5.1458965852","12.5966599659","132.9125445232","0.0033200337","0.0000000000"
"5","19682","-1103.6074173337","0.0113404649","0.0612601495","0.0773991418","481.9462413215","297.2407129040","184.7055284175","172.0467066429","234.5434047126","-62.4966980697","-68.5189200638","6.0222219941","150.8616998872","104.2087670338","-20.5270622084","-180.9047092164","160.3776470080","5.1198043360","12.5179465490","133.2208651185","0.0030838837","0.0000000000"
"6","19123","-1103.7454898998","0.0098779473","0.0711380968","0.1597127499","482.0285549296","297.4910905196","184.5374644101","172.2970842585","234.6766522430","-62.3795679845","-68.3935696438","6.0140016593","151.3595054709","103.9360292360","-20.6188824639","-180.8529221651","160.2340397012","5.1176208917","12.5735040152","133.6648709493","0.0035096146","0.0000000000"
"7","7307","-1103.8270897321","0.0091039182","0.0802420149","0.2083594638","482.0772016435","296.2899945060","185.7872071375","171.0959882449","233.5327513372","-62.4306589804","-68.4840037371","6.0533447567","150.4543228360","103.3851123056","-20.3066838044","-181.3446167823","161.0379329779","5.1134605012","12.2853313281","133.0542952132","0.0012357935","0.0000000000"
"8","19670","-1103.8878189592","0.0085674973","0.0888095123","0.2445639173","482.1134060970","296.6758287367","185.4375773603","171.4818224756","235.1113153686","-63.6294928930","-69.6258570476","5.9963641546","150.8634614472","105.1674826551","-20.9196287336","-180.7811112828","159.8614825492","5.0693298601","12.1249704415","133.6684678349","0.0006933107","0.0000000000"
"9","15321","-1103.9029109731","0.0084391674","0.0972486797","0.2535612015","482.1224033812","296.5143660096","185.6080373716","171.3203597485","233.7729698428","-62.4526100943","-68.4726716571","6.0200615629","150.6539335008","103.7101231403","-20.5910867983","-181.0168873531","160.4258005549","5.0836568806","12.2194297154","133.3498058471","0.0010410577","0.0000000000"
"10","21623","-1103.9934914425","0.0077083425","0.1049570221","0.3075618294","482.1764040091","297.0501277415","185.1262762676","171.8561214804","235.5271971452","-63.6710756648","-69.6740066388","6.0029309740","151.3776242171","105.1043102950","-20.9547373668","-180.0636878552","159.1089504883","5.0412059171","12.0871898590","134.2487434723","0.0004849687","0.0000000000"
"11","24673","-1104.0148878991","0.0075451632","0.1125021853","0.3203175823","482.1891597621","297.5293889870","184.6597707751","172.3353827259","238.2320268990","-65.8966441731","-71.9192658708","6.0226216977","150.3795159572","111.0667184349","-23.2142074930","-182.1284004116","158.9141929186","4.9766950998","12.3860282095","133.0066626212","0.0101300266","0.0000000000"
"12","19719","-1104.0160227147","0.0075366057","0.1200387911","0.3209941162","482.1898362959","297.8615330141","184.3283032818","172.6675267530","236.4745027828","-63.8069760298","-69.8165233202","6.0095472904","151.5809076996","105.7486854457","-20.8550903624","-179.8108200809","158.9557297184","5.0791948185","12.3017395670","134.1979920046","0.0019813094","0.0000000000"
"13","21667","-1104.0532455708","0.0072612287","0.1273000197","0.3431849661","482.2120271458","297.8262461863","184.3857809595","172.6322399252","235.0375913526","-62.4012142047","-68.4407762344","6.0395620297","151.5584927064","104.3087712510","-20.8296726048","-180.4287589456","159.5990863408","5.0920728773","12.4835411968","133.9796277076","0.0032509247","0.0000000000"
"14","22142","-1104.0532925531","0.0072608875","0.1345609073","0.3432129752","482.2120551549","297.2151676390","184.9968875159","172.0211613780","233.9718084313","-61.9506470534","-67.9502934836","5.9996464302","150.9924863121","102.9802588183","-20.0009366990","-180.3706395227","160.3697028237","5.1228389038","11.9387216702","133.9307490216","0.0001767165","0.0000000000"
"15","14443","-1104.0556457485","0.0072438213","0.1418047286","0.3446158607","482.2134580404","296.8982518760","185.3152061644","171.7042456150","234.9032270703","-63.1989814553","-69.2166997684","6.0177183131","151.1519564814","104.4377111665","-20.6864405776","-180.4322837374","159.7458431597","5.0690018868","12.1560282759","133.9263641429","0.0005621757","0.0000000000"
