" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","45.1224593979"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","1411","-142.6597310709","0.0537297056","0.0537297056","0.0000000000","58.1480085739","20.9634902037","37.1845183702","-3.1810681467","47.6738829100","-50.8482874489","-53.4295624968","2.5812750478","2.5868722745","44.3569637493","0.7300468862","-6.9010802530","7.6311271392","0.1450372144","0.4015340912","2.0403009689","0.0000000000","0.0000000000"
"2","1570","-143.0570851946","0.0361115191","0.0898412247","0.2368874031","58.3848959770","21.0970082601","37.2878877169","-3.0475500902","48.2922622570","-51.3398123472","-53.8787583331","2.5389459859","2.6847160683","44.7680568241","0.8394893646","-7.4282465769","8.2677359415","0.1646051905","0.4398428382","2.0802680396","0.0000000000","0.0000000000"
"3","2521","-143.1145129818","0.0340961377","0.1239373625","0.2711236638","58.4191322377","21.1310538981","37.2880783397","-3.0135044523","48.2922436786","-51.3057481309","-53.8564483913","2.5507002604","2.6847891043","44.7680281697","0.8394264046","-7.4281974183","8.2676238229","0.1646510786","0.4398835635","2.0802544621","0.0000000000","0.0000000000"
"4","228","-143.5070524322","0.0230264756","0.1469638380","0.5051407419","58.6531493158","21.3694543374","37.2836949785","-2.7751040130","48.4811461578","-51.2562501708","-53.8240747800","2.5678246092","2.8872029485","44.8085102170","0.7854329923","-7.5062109013","8.2916438936","0.1671479891","0.5251821892","2.1948727703","0.0000000000","0.0000000000"
"5","1293","-143.5210204142","0.0227070780","0.1696709160","0.5134679211","58.6614764950","21.3775220216","37.2839544734","-2.7670363288","48.4810603415","-51.2480966703","-53.7798291178","2.5317324475","2.8873967363","44.8083855296","0.7852780756","-7.5061264608","8.2914045364","0.1671995584","0.5254026943","2.1947944835","0.0000000000","0.0000000000"
"6","1223","-143.7371926063","0.0182927442","0.1879636603","0.6423415534","58.7903501273","21.4948964225","37.2954537048","-2.6496619279","48.3007329661","-50.9503948940","-53.5151263235","2.5647314296","3.0903648934","44.3443163011","0.8660517716","-7.5213429861","8.3873947577","0.1799006267","0.6405089828","2.2699552840","0.0000000000","0.0000000000"
"7","1623","-143.7388632051","0.0182622099","0.2062258702","0.6433375008","58.7913460747","21.4963619007","37.2949841740","-2.6481964497","48.3007582489","-50.9489546986","-53.5208255225","2.5718708239","3.0904560473","44.3442828828","0.8660193187","-7.5213516257","8.3873709444","0.1798494690","0.6404613342","2.2701452441","0.0000000000","0.0000000000"
"8","1544","-143.7864059899","0.0174142895","0.2236401597","0.6716806994","58.8196892733","21.5360520833","37.2836371900","-2.6085062671","48.4947233691","-51.1032296362","-53.6376327223","2.5344030862","3.1294382907","44.5116639143","0.8536211641","-7.5660712977","8.4196924618","0.1838808997","0.6641443450","2.2814130461","0.0000000000","0.0000000000"
"9","2219","-143.7896211781","0.0173583892","0.2409985490","0.6735974722","58.8216060461","21.5370499663","37.2845560797","-2.6075083840","48.5540238245","-51.1615322085","-53.6971344792","2.5356022706","3.1266884262","44.5851392335","0.8421961648","-7.5921257154","8.4343218802","0.1850666846","0.6603510202","2.2812707214","0.0000000000","0.0000000000"
"10","1678","-143.7914848076","0.0173260698","0.2583246187","0.6747084971","58.8227170710","21.5379603128","37.2847567583","-2.6065980376","48.5540664837","-51.1606645213","-53.7300576228","2.5693931015","3.1266014116","44.5852378362","0.8422272358","-7.5923184327","8.4345456685","0.1851350660","0.6604669419","2.2809994037","0.0000000000","0.0000000000"
"11","1077","-143.8394389898","0.0165148191","0.2748394378","0.7032969552","58.8513055291","21.5675362763","37.2837692528","-2.5770220741","48.4947245386","-51.0717466127","-53.6435468525","2.5718002399","3.1294076687","44.5116563661","0.8536605038","-7.5661655034","8.4198260071","0.1838726091","0.6641604107","2.2813746488","0.0000000000","0.0000000000"
"12","2405","-143.8493672380","0.0163516672","0.2911911050","0.7092157988","58.8572243727","21.5720787116","37.2851456611","-2.5724796388","48.7590176152","-51.3314972540","-53.9025353404","2.5710380864","3.1254139476","44.7942962887","0.8393073790","-7.5841312423","8.4234386213","0.1839736865","0.6625321142","2.2789081469","0.0000000000","0.0000000000"
"13","1676","-143.9324769940","0.0150476240","0.3062387290","0.7587626718","58.9067712457","21.6217108407","37.2850604049","-2.5228475096","48.7591306205","-51.2819781301","-53.8477236059","2.5657454757","3.1253138180","44.7943787430","0.8394380596","-7.5842878078","8.4237258674","0.1839791494","0.6625875445","2.2787471240","0.0000000000","0.0000000000"
"14","937","-144.0445956176","0.0134516460","0.3196903750","0.8256035273","58.9736121012","21.5031586766","37.4704534246","-2.6413996737","49.1108287850","-51.7522284587","-54.2724482656","2.5202198068","2.9685171344","45.3514964673","0.7908151833","-8.2452455367","9.0360607200","0.1912111773","0.6338840598","2.1434218974","0.0000000000","0.0000000000"
"15","453","-144.1127061128","0.0125659526","0.3322563276","0.8662084119","59.0142169858","21.6150741797","37.3991428061","-2.5294841707","48.9269365615","-51.4564207322","-53.9845095935","2.5280888613","3.1887471706","44.7641784376","0.9740109533","-8.0485791352","9.0225900885","0.1995708048","0.6789888893","2.3101874765","0.0000000000","0.0000000000"
"16","197","-144.1201611170","0.0124726217","0.3447289494","0.8706528016","59.0186613755","21.5479183148","37.4707430607","-2.5966400355","49.1112489032","-51.7078889388","-54.2361885324","2.5282995936","2.9683149460","45.3518703359","0.7910636213","-8.2456747403","9.0367383616","0.1912090732","0.6338241240","2.1432817488","0.0000000000","0.0000000000"
"17","2245","-144.1325481108","0.0123190764","0.3570480257","0.8780374558","59.0260460297","21.6272737395","37.3987722902","-2.5172846109","48.9585286518","-51.4758132626","-53.9788454249","2.5030321623","3.1883966065","44.7963764128","0.9737556325","-8.0495041363","9.0232597688","0.1996049888","0.6788322413","2.3099593764","0.0000000000","0.0000000000"
"18","2522","-144.2042091235","0.0114671677","0.3685151935","0.9207590237","59.0687675976","21.6856120524","37.3831555453","-2.4589462980","49.5011532090","-51.9598377106","-54.4637431140","2.5039054035","3.2235046819","45.3405063297","0.9371421974","-8.1430536016","9.0801957990","0.2063269206","0.6949721802","2.3222055811","0.0000000000","0.0000000000"
"19","198","-144.2153815268","0.0113397649","0.3798549584","0.9274195853","59.0754281592","21.6765806145","37.3988475448","-2.4679777359","48.9585038499","-51.4264815858","-53.9527886476","2.5263070618","3.1883709130","44.7962935560","0.9738393809","-8.0494220469","9.0232614277","0.1995882110","0.6787503370","2.3100323649","0.0000000000","0.0000000000"
"20","232","-144.2204229663","0.0112827401","0.3911376985","0.9304250996","59.0784336735","21.6798910288","37.3985426448","-2.4646673216","48.9270459365","-51.3917132581","-53.9288062103","2.5370929522","3.1886739131","44.7642497803","0.9741222431","-8.0487535580","9.0228758011","0.1995526921","0.6790124379","2.3101087832","0.0000000000","0.0000000000"
"21","1376","-144.2206552862","0.0112801192","0.4024178177","0.9305635999","59.0785721738","21.6782970007","37.4002751731","-2.4662613496","49.1842764104","-51.6505377601","-54.1964432985","2.5459055384","3.2172124767","45.0394935190","0.9275704147","-8.1230044385","9.0505748532","0.2048333195","0.6756271125","2.3367520447","0.0000000000","0.0000000000"
"22","1041","-144.2263044842","0.0112165752","0.4136343929","0.9339314368","59.0819400106","21.6904271761","37.3915128346","-2.4541311743","49.2405516043","-51.6946827786","-54.2166590723","2.5219762937","3.2250215764","45.0751650055","0.9403650224","-8.1322760876","9.0726411099","0.2046034933","0.6976894401","2.3227286430","0.0000000000","0.0000000000"
"23","1227","-144.2558754950","0.0108897459","0.4245241388","0.9515605478","59.0995691217","21.7000670713","37.3995020503","-2.4444912790","49.1842684115","-51.6287596905","-54.1675031774","2.5387434869","3.2170924344","45.0394242366","0.9277517405","-8.1231950447","9.0509467852","0.2048003017","0.6754830729","2.3368090598","0.0000000000","0.0000000000"
"24","1882","-144.2755221448","0.0106778868","0.4352020256","0.9632731325","59.1112817064","21.7237888040","37.3874929024","-2.4207695463","49.0313264149","-51.4518394747","-53.9713531634","2.5195136887","3.2266006970","44.8397893093","0.9649364086","-8.0927212002","9.0576576088","0.2037706681","0.7018905298","2.3209394991","0.0000000000","0.0000000000"
"25","2284","-144.2759905299","0.0106728866","0.4458749123","0.9635523659","59.1115609398","21.7233988414","37.3881620983","-2.4211595089","49.0929793840","-51.5134818289","-54.0347662338","2.5212844048","3.2277672913","44.9037417275","0.9614703651","-8.0941569295","9.0556272946","0.2035772681","0.7022897986","2.3219002246","0.0000000000","0.0000000000"
"26","2610","-144.3204927410","0.0102083331","0.4560832453","0.9900828901","59.1380914640","21.7468277490","37.3912637150","-2.3977306014","49.2400747947","-51.6378053961","-54.1633923394","2.5255869433","3.2252080688","45.0747805420","0.9400861839","-8.1318453326","9.0719315164","0.2045375629","0.6976961262","2.3229743798","0.0000000000","0.0000000000"
"27","1362","-144.3249356382","0.0101630791","0.4662463245","0.9927315763","59.1407401502","21.7575127045","37.3832274457","-2.3870456458","49.5010416323","-51.8879911371","-54.4097044548","2.5217133177","3.2235226493","45.3403709569","0.9371480261","-8.1429705206","9.0801185467","0.2063101465","0.6949337516","2.3222787512","0.0000000000","0.0000000000"
"28","344","-144.3385118101","0.0100260358","0.4762723602","1.0008251732","59.1488337471","21.7608214950","37.3880122521","-2.3837368553","49.0929526358","-51.4766894911","-54.0015683144","2.5248788233","3.2276485489","44.9037706182","0.9615334687","-8.0941863940","9.0557198627","0.2035346427","0.7022220610","2.3218918452","0.0000000000","0.0000000000"
"29","2539","-144.3462941088","0.0099483130","0.4862206732","1.0054646835","59.1534732574","21.7858884774","37.3675847800","-2.3586698730","49.0267060489","-51.3853759219","-53.8854689535","2.5000930316","3.2500849400","44.7911117630","0.9855093459","-8.0772897705","9.0627991164","0.2101748152","0.7241051783","2.3158049465","0.0000000000","0.0000000000"
"30","1914","-144.3749321869","0.0096674533","0.4958881265","1.0225376155","59.1705461894","21.7834636301","37.3870825593","-2.3610947202","49.0313997686","-51.3924944888","-53.9267165022","2.5342220134","3.2263895164","44.8397919547","0.9652182975","-8.0928953166","9.0581136141","0.2037175835","0.7018075530","2.3208643798","0.0000000000","0.0000000000"
"31","1748","-144.4633736784","0.0088491678","0.5047372943","1.0752630662","59.2232716401","21.6989312781","37.5243403620","-2.4456270723","49.5328860352","-51.9785131075","-54.5083565094","2.5298434019","3.3410312144","45.4592952096","0.7325596112","-8.5196390866","9.2521986978","0.2121161110","0.8932325493","2.2356825542","0.0000000000","0.0000000000"
"32","2596","-144.4993709408","0.0085362872","0.5132735815","1.0967232638","59.2447318377","21.8507548995","37.3939769381","-2.2938034508","49.0858293782","-51.3796328290","-53.9299170908","2.5502842618","3.3902111023","44.7720753547","0.9235429213","-8.1257608744","9.0493037957","0.2022677625","0.7636385580","2.4243047818","0.0000000000","0.0000000000"
"33","939","-144.5057545057","0.0084819688","0.5217555502","1.1005289021","59.2485374760","21.8546398026","37.3938976734","-2.2899185477","49.0980299805","-51.3879485282","-53.9266789312","2.5387304030","3.3907886140","44.7871655615","0.9200758049","-8.1275559236","9.0476317285","0.2019898960","0.7641374588","2.4246612593","0.0000000000","0.0000000000"
"34","2449","-144.5355465036","0.0082330010","0.5299885513","1.1182897573","59.2662983312","21.8703650188","37.3959333124","-2.2741933316","49.2237555117","-51.4979488433","-54.0142010681","2.5162522248","3.4101866464","44.9416500846","0.8719187807","-8.2131561031","9.0850748837","0.2075257377","0.7531793308","2.4494815779","0.0000000000","0.0000000000"
"35","2595","-144.5536830514","0.0080850287","0.5380735800","1.1291020767","59.2771106506","21.8810684014","37.3960422492","-2.2634899490","49.2238049361","-51.4872948851","-54.0015003227","2.5142054376","3.4101392264","44.9417501676","0.8719155421","-8.2131932442","9.0851087863","0.2075453600","0.7532367863","2.4493570801","0.0000000000","0.0000000000"
"36","2543","-144.5609165391","0.0080267568","0.5461003368","1.1334144067","59.2814229806","21.8870092964","37.3944136842","-2.2575490540","49.0978710597","-51.3554201136","-53.8779729712","2.5225528576","3.3909694478","44.7869264360","0.9199751758","-8.1276027973","9.0475779732","0.2020019484","0.7642745720","2.4246929274","0.0000000000","0.0000000000"
"37","1021","-144.5672509153","0.0079760730","0.5540764098","1.1371907207","59.2851992946","21.8908081941","37.3943911004","-2.2537501562","49.0858106691","-51.3395608253","-53.9208833314","2.5813225061","3.3904086856","44.7720036452","0.9233983382","-8.1256339471","9.0490322853","0.2022966444","0.7638509319","2.4242611093","0.0000000000","0.0000000000"
"38","2278","-144.6510570976","0.0073348723","0.5614112820","1.1871527765","59.3351613504","21.9501455798","37.3850157705","-2.1944127705","49.3335658260","-51.5279785965","-54.0595418941","2.5315632976","3.4288216337","45.0082295769","0.8965146154","-8.1878232773","9.0843378927","0.2058676612","0.7863078381","2.4366461344","0.0000000000","0.0000000000"
"39","1629","-144.6699328645","0.0071977194","0.5686090015","1.1984057901","59.3464143640","21.9917951713","37.3546191927","-2.1527631790","49.2342537680","-51.3871946108","-53.9367928477","2.5495982369","3.4742683010","44.8160331326","0.9439523344","-8.1465706032","9.0905229376","0.2139968718","0.8151677551","2.4451036741","0.0000000000","0.0000000000"
"40","586","-144.6771481231","0.0071459729","0.5757549744","1.2027072527","59.3507158266","21.8265526372","37.5241631893","-2.3180057131","49.5321091365","-51.8501148496","-54.3758832286","2.5257683790","3.3413056110","45.4585425932","0.7322609323","-8.5184804681","9.2507414004","0.2121174652","0.8933271946","2.2358609513","0.0000000000","0.0000000000"
"41","2626","-144.6874879954","0.0070724652","0.5828274396","1.2088714909","59.3568800648","21.9718221630","37.3850579018","-2.1727361873","49.3332282587","-51.5059644460","-54.0501149935","2.5441505475","3.4291370876","45.0078663466","0.8962248245","-8.1873591032","9.0835839277","0.2058568591","0.7864366357","2.4368435928","0.0000000000","0.0000000000"
"42","2315","-144.7197309283","0.0068480653","0.5896755049","1.2280935002","59.3761020741","21.9550466633","37.4210554108","-2.1895116871","49.0916262619","-51.2811379489","-53.7891134106","2.5079754616","3.6005743363","44.5424191307","0.9486327950","-8.2370661091","9.1856989041","0.2194640848","0.8521822190","2.5289280324","0.0000000000","0.0000000000"
