" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","42.1769439513"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","146","6.7696681922","0.3150955019","0.3150955019","0.0000000000","-29.1801069864","-40.0003697669","10.8202627805","-53.4140132949","9.0479774648","-62.4619281167","-64.5438601090","2.0819319924","2.6518153413","5.5784831395","0.8176789840","-4.5344727147","5.3521516987","0.0627869585","2.5791010951","0.0099111120","0.0000161756","0.0000000000"
"2","186","6.7101449571","0.2968872801","0.6119827819","0.0354854870","-29.1446214994","-39.9644878219","10.8198663225","-53.3781313499","9.0478408663","-62.4259722162","-64.4963861236","2.0704139075","2.6518378362","5.5783251157","0.8176779144","-4.5342094448","5.3518873592","0.0627770602","2.5791384954","0.0098882519","0.0000340286","0.0000000000"
"3","182","5.6115814154","0.0989672509","0.7109500328","0.6904072532","-28.4896997332","-39.4644652892","10.9747655560","-52.8781088172","10.0674064754","-62.9455152925","-64.9823736454","2.0368583528","2.7791779668","6.4736921947","0.8145363139","-5.0875113420","5.9020476559","0.0777824348","2.6509977057","0.0503589854","0.0000388408","0.0000000000"
"4","149","5.6088572767","0.0986980173","0.8096480501","0.6920312811","-28.4880757053","-39.4604298515","10.9723541462","-52.8740733795","10.0673474264","-62.9414208059","-64.9755901436","2.0341693377","2.7790485921","6.4735900716","0.8147087627","-5.0874912117","5.9021999743","0.0777768553","2.6508478215","0.0503449186","0.0000789967","0.0000000000"
"5","75","5.5754639626","0.0954565857","0.9051046358","0.7119391038","-28.4681678826","-39.4368704312","10.9687025485","-52.8505139591","10.2432008553","-63.0937148144","-65.1200970331","2.0263822186","2.8217440397","6.6364669692","0.7849898464","-5.2156814086","6.0006712550","0.0802887067","2.6777992991","0.0635974621","0.0000585719","0.0000000000"
"6","165","5.5695672741","0.0948953642","1.0000000000","0.7154544850","-28.4646525014","-39.4322604686","10.9676079672","-52.8459039966","10.2427458078","-63.0886498043","-65.1345258708","2.0458760665","2.8216716569","6.6359262185","0.7851479323","-5.2147121176","5.9998600499","0.0803012813","2.6778008470","0.0634896685","0.0000798601","0.0000000000"
