" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","45.8581906307"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","236","-9.1426699319","0.1393174067","0.1393174067","0.0000000000","-21.8883958488","-37.1358096564","15.2474138076","-53.2321818900","6.5718075371","-59.8032590441","-62.0377357191","2.2344766750","7.9887430897","-2.6976813951","1.2807458425","-6.4669127830","7.7476586255","0.1361091009","2.8541516631","4.9975919786","0.0008903470","0.0000000000"
"2","273","-9.1544704125","0.1376830564","0.2770004631","0.0070349974","-21.8813608514","-36.7730493233","14.8916884718","-52.8694215568","6.6324286287","-59.5018501856","-61.7589462198","2.2570960342","9.0758887480","-3.0077235711","0.5642634519","-5.7728366177","6.3371000696","0.0838914889","2.2386497675","6.7524273466","0.0009201450","0.0000000000"
"3","549","-9.2538141636","0.1246625641","0.4016630272","0.0662599602","-21.8221358886","-36.7138660042","14.8917301156","-52.8102382378","6.6325313910","-59.4427696288","-61.7019748589","2.2592052301","9.0756405217","-3.0074086293","0.5642994987","-5.7730013315","6.3373008303","0.0838870218","2.2387825151","6.7521445517","0.0008264330","0.0000000000"
"4","516","-10.1707616516","0.0498322872","0.4514953144","0.6129091485","-21.2754867003","-36.3076486346","15.0321619343","-52.4040208681","7.8281526868","-60.2321735550","-62.4856978897","2.2535243347","9.3005096458","-2.0801561269","0.6077991679","-6.3412428325","6.9490420005","0.1034929523","2.3337019018","6.8622743957","0.0010403960","0.0000000000"
"5","132","-10.2100963976","0.0479101971","0.4994055115","0.6363590268","-21.2520368220","-36.2844460521","15.0324092301","-52.3808182856","7.8278835899","-60.2087018755","-62.4507464726","2.2420445971","9.3003171736","-2.0804329607","0.6079993770","-6.3412118103","6.9492111874","0.1034781334","2.3336196493","6.8622473203","0.0009720706","0.0000000000"
"6","559","-10.3775912208","0.0405215342","0.5399270458","0.7362130646","-21.1521827841","-36.1588044854","15.0066217013","-52.2551767190","7.4913714663","-59.7465481852","-61.9728374162","2.2262892310","9.6038518341","-2.7987596058","0.6862792380","-6.4346506175","7.1209298555","0.1241051613","2.4927997237","6.9859842873","0.0009626618","0.0000000000"
"7","233","-10.3994720074","0.0396445211","0.5795715668","0.7492575567","-21.1391382920","-36.2507594214","15.1116211293","-52.3471316549","8.4280663549","-60.7751980098","-62.9831319350","2.2079339252","9.2306119346","-1.3040440234","0.5014984436","-6.5149284356","7.0164268793","0.1028194363","2.3282015397","6.7990773891","0.0005135695","0.0000000000"
"8","120","-10.4166868516","0.0389678876","0.6185394544","0.7595203915","-21.1288754573","-36.2406415483","15.1117660911","-52.3370137819","8.4283144704","-60.7653282523","-62.9762009282","2.2108726759","9.2304784307","-1.3035538490","0.5013898887","-6.5151681017","7.0165579904","0.1028204826","2.3282948579","6.7989354168","0.0004276734","0.0000000000"
"9","152","-10.4334777654","0.0383190437","0.6568584982","0.7695304951","-21.1188653536","-36.1254582980","15.0065929443","-52.2218305315","7.4914239954","-59.7132545270","-61.9470761252","2.2338215982","9.6038041538","-2.7984517852","0.6860716268","-6.4347514956","7.1208231224","0.1241033808","2.4929586932","6.9858993298","0.0008427500","0.0000000000"
"10","527","-10.4624499004","0.0372247872","0.6940832854","0.7868025792","-21.1015932695","-36.4576111132","15.3560178437","-52.5539833468","7.4275755469","-59.9815588937","-62.1796933448","2.1981344511","8.5484239955","-2.5404131518","1.4195647033","-7.1155624167","8.5351271201","0.1836790647","3.1122214538","5.2515675546","0.0009559224","0.0000000000"
