" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","306.2361725008"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","25985","-1153.0248069112","0.0614039317","0.0614039317","0.0000000000","504.8231504676","307.7219311890","197.1012192786","174.4797388112","246.2232711030","-71.7435322918","-77.9632123463","6.2196800545","151.0460609004","122.2024258994","-27.0252156969","-184.8763763053","157.8511606084","4.4770270278","11.4839935464","135.0844951329","0.0005451933","0.0000000000"
"2","25170","-1153.6593521235","0.0325549248","0.0939588565","0.3782917013","505.2014421689","308.2701376224","196.9313045465","175.0279452446","249.5860932168","-74.5581479722","-80.7848537264","6.2267057542","150.8165404750","125.7936841817","-27.0241314400","-184.7037524384","157.6796209984","4.4866333702","11.5960024689","134.7333359047","0.0005687312","0.0000000000"
"3","26447","-1153.7355263504","0.0301671755","0.1241260320","0.4237038758","505.2468543434","307.9904999529","197.2563543905","174.7483075750","246.8201792622","-72.0718716872","-78.2203321107","6.1484604235","151.3477509570","123.0926273681","-27.6201990629","-184.9613864869","157.3411874240","4.4557799460","11.3489614503","135.5424688471","0.0005407135","0.0000000000"
"4","23362","-1153.8788851297","0.0261381426","0.1502641745","0.5091689230","505.3323193906","308.3354422461","196.9968771445","175.0932498682","248.8726019204","-73.7793520522","-79.9980849238","6.2187328716","150.6321354445","125.3512684999","-27.1108020240","-184.9272404625","157.8164384385","4.4884888081","11.6076841845","134.5354242246","0.0005382273","0.0000000000"
"5","25940","-1153.8900886590","0.0258469374","0.1761111120","0.5158480407","505.3389985083","308.2345303830","197.1044681253","174.9923380052","248.9245040362","-73.9321660311","-80.1217538172","6.1895877861","150.6221394694","125.6482450184","-27.3458804515","-184.6861134270","157.3402329755","4.4602270586","11.4709414852","134.6904817170","0.0004892086","0.0000000000"
"6","22757","-1154.0424457970","0.0221942885","0.1983054005","0.6066775668","505.4298280344","308.7072812245","196.7225468100","175.4650888466","249.0581774181","-73.5930885715","-79.7718613846","6.1787728131","151.2757077112","125.4517286687","-27.6692589618","-184.6026662504","156.9334072886","4.4524621106","11.5621775919","135.2604975659","0.0005704429","0.0000000000"
"7","20866","-1154.1316133398","0.0203009450","0.2186063456","0.6598358616","505.4829863293","308.0437924533","197.4391938760","174.8016000754","246.5140004474","-71.7124003720","-77.8613426333","6.1489422613","151.7112018654","122.3768607525","-27.5740621705","-184.5626273681","156.9885651976","4.4425880390","11.4437178697","135.8243127293","0.0005832275","0.0000000000"
"8","29074","-1154.1675732844","0.0195838940","0.2381902396","0.6812738118","505.5044242794","308.4757233158","197.0287009636","175.2335309380","249.6185662896","-74.3850353516","-80.6014371459","6.2164017943","150.7751381689","125.8414720847","-26.9980439640","-184.8237272819","157.8256833179","4.4954838588","11.6406437172","134.6384772807","0.0005333121","0.0000000000"
"9","25927","-1154.2269770124","0.0184544174","0.2566446570","0.7166880532","505.5398385208","308.5636704206","196.9761681002","175.3214780427","249.1681682292","-73.8466901864","-80.0655221629","6.2188319765","150.6049825609","125.6230641291","-27.0598784609","-184.6384026949","157.5785242340","4.4845904507","11.6042056842","134.5156342713","0.0005521547","0.0000000000"
"10","27759","-1154.3161512912","0.0168800000","0.2735246569","0.7698503638","505.5930008314","308.3192919602","197.2737088712","175.0770995823","246.7375085454","-71.6604089632","-77.9120206553","6.2516116921","150.1245116389","122.1141413241","-25.5011444176","-183.0726575660","157.5715131484","4.5641168598","11.6192669980","133.9411112492","0.0000165318","0.0000000000"
"11","25247","-1154.3260752923","0.0167133113","0.2902379682","0.7757666755","505.5989171431","308.7002662906","196.8986508525","175.4580739127","250.0617471192","-74.6036732065","-80.8352146344","6.2315414278","150.5822599035","126.5165775391","-27.0370903234","-184.7701198687","157.7330295453","4.4897541187","11.6551977640","134.4368217658","0.0004862551","0.0000000000"
"12","20710","-1154.3623058704","0.0161186165","0.3063565848","0.7973659670","505.6205164346","308.5386183440","197.0818980906","175.2964259661","247.0361952148","-71.7397692487","-77.9075758720","6.1678066233","151.4154516708","123.1706306156","-27.5498870716","-184.8925781186","157.3426910470","4.4587016799","11.3683986593","135.5878319460","0.0005193857","0.0000000000"
"13","25346","-1154.4375934651","0.0149496414","0.3213062262","0.8422495651","505.6654000327","308.5461657007","197.1192343320","175.3039733229","250.1458773722","-74.8419040493","-80.9718030067","6.1298989574","151.1097278181","126.6898274099","-27.6536778558","-184.8450321045","157.1913542486","4.4649775306","11.4620404337","135.1821497740","0.0005600798","0.0000000000"
"14","25887","-1154.4659419608","0.0145317922","0.3358380184","0.8591498591","505.6823003267","307.6471898748","198.0351104519","174.4049974970","246.3109952856","-71.9059977886","-78.0381297541","6.1321319655","151.4503865297","122.8666597783","-28.0060510224","-184.9625903463","156.9565393239","4.4188061854","11.2328815295","135.7982501259","0.0004486889","0.0000000000"
"15","25476","-1154.6625672683","0.0119378439","0.3477758623","0.9763703828","505.7995208504","308.3892588295","197.4102620210","175.1470664516","247.2986696039","-72.1516031523","-78.3122399749","6.1606368226","151.3083635270","123.5849316406","-27.5946255636","-185.3158519872","157.7212264236","4.4718230131","11.4305128222","135.4055571747","0.0004705169","0.0000000000"
"16","25298","-1154.6705600987","0.0118428070","0.3596186693","0.9811354041","505.8042858717","308.9638370450","196.8404488267","175.7216446672","252.2174116619","-76.4962699961","-82.7228981292","6.2266281332","150.3954437998","128.9368502325","-27.1148823704","-184.7575129094","157.6426305390","4.4976275380","11.7182599845","134.1789981584","0.0005581189","0.0000000000"
"17","20641","-1154.6907214023","0.0116064314","0.3712251007","0.9931548058","505.8163052734","308.8317474667","196.9845578067","175.5895550888","247.6362950283","-72.0467399395","-78.2669667316","6.2202267921","150.5975468845","122.8283523683","-25.7896042245","-182.9087185835","157.1191143590","4.5460397909","11.5336830444","134.5178221511","0.0000018981","0.0000000000"
"18","25190","-1154.7342778529","0.0111117480","0.3823368487","1.0191215037","505.8422719713","308.7272620688","197.1150099025","175.4850696909","247.7803795334","-72.2953098424","-78.4058632553","6.1105534129","151.9712735757","123.8931975318","-28.0840915741","-185.0507396388","156.9666480648","4.4445769639","11.4170336363","136.1091571604","0.0005058151","0.0000000000"
"19","22756","-1154.7679333791","0.0107439994","0.3930808481","1.0391856473","505.8623361149","308.8820240657","196.9803120492","175.6398316878","252.0225141334","-76.3801867459","-82.5788438276","6.1986570816","150.3842833111","128.9976892279","-27.3594584055","-184.5782712413","157.2188128358","4.4715293717","11.5927234669","134.3195198546","0.0005106178","0.0000000000"
"20","25877","-1154.8303844690","0.0100935470","0.4031743951","1.0764166099","505.8995670775","308.8245499269","197.0750171506","175.5823575490","249.0485805479","-73.4662229989","-79.6125318566","6.1463088578","151.3361140812","125.6457659527","-27.9332994861","-184.5904735278","156.6571740418","4.4355755689","11.4556433403","135.4443161522","0.0005790198","0.0000000000"
"21","20019","-1154.9106052735","0.0093154611","0.4124898562","1.1242411999","505.9473916675","309.0384832139","196.9089084536","175.7962908360","247.4239608138","-71.6276699778","-77.7202193460","6.0925493683","152.0718156487","123.4421489958","-28.0900038307","-184.6382071220","156.5482032913","4.4296539504","11.3568314922","136.2847719277","0.0005582784","0.0000000000"
"22","25509","-1154.9189010639","0.0092385017","0.4217283578","1.1291868343","505.9523373020","309.0536614079","196.8986758940","175.8114690301","252.2781796272","-76.4667105971","-82.6964551916","6.2297445945","150.3646859617","129.0099743411","-27.0964806757","-184.8383417693","157.7418610936","4.5036670539","11.7498767162","134.1106137099","0.0005284818","0.0000000000"
"23","25815","-1154.9250894067","0.0091815072","0.4309098650","1.1328760887","505.9560265564","308.9240466436","197.0319799127","175.6818542657","250.6126247726","-74.9307705069","-81.0924375870","6.1616670801","150.8824473477","127.3876702612","-27.6574928363","-184.8184366853","157.1609438491","4.4650031632","11.5009982418","134.9159699114","0.0004760313","0.0000000000"
"24","25637","-1154.9251813608","0.0091806629","0.4400905280","1.1329309083","505.9560813759","309.2450123565","196.7110690194","176.0028199786","253.5456887592","-77.5428687806","-83.7894330670","6.2465642864","150.3475337803","130.2372220760","-27.0390670971","-184.5888953049","157.5498282078","4.4987264105","11.7638561853","134.0843651836","0.0005860009","0.0000000000"
"25","20337","-1154.9589771644","0.0088755794","0.4489661073","1.1530786799","505.9762291475","309.0095248979","196.9667042497","175.7673325200","251.3684884199","-75.6011558999","-81.8271891635","6.2260332636","150.1248731909","128.6657033765","-27.4220881474","-184.7742042448","157.3521160974","4.4732153101","11.6091843238","134.0419961038","0.0004774532","0.0000000000"
