" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","301.8428016021"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","21719","-1226.5875960499","0.0355345667","0.0355345667","0.0000000000","551.2976456476","342.5848025959","208.7128430517","205.7656386106","275.3788425110","-69.6029146277","-75.9420338996","6.3391192719","146.7213403654","155.9089477269","-27.2514455813","-183.8473805097","156.5959349284","4.2753230082","10.2163618379","132.2296555192","0.0000000000","0.0000000000"
"2","25904","-1226.9474973725","0.0247940724","0.0603286391","0.2145594688","551.5122051164","342.6833971252","208.8288079912","205.8642331399","275.4838172952","-69.6195841553","-75.9792755229","6.3596913676","146.5772206515","155.8219181032","-26.9153214595","-184.0197699935","157.1044485340","4.3067224074","10.2939404697","131.9765577744","0.0000000000","0.0000000000"
"3","22467","-1227.1878295162","0.0194972312","0.0798258703","0.3578363445","551.6554819921","343.1948403831","208.4606416090","206.3756763978","277.9692567169","-71.5935803191","-77.9348973323","6.3413170131","146.8398771317","158.4629439580","-27.3335643728","-183.6820161165","156.3484517437","4.2568408919","10.0287838129","132.5542524268","0.0000000000","0.0000000000"
"4","25956","-1227.2377675532","0.0185474892","0.0983733596","0.3876075013","551.6852531489","342.8656870909","208.8195660580","206.0465231056","275.5856923057","-69.5391692001","-75.9290156698","6.3898464697","146.5360933229","155.8434016191","-26.7938026363","-183.9129082685","157.1191056322","4.3014469395","10.2533534194","131.9812929641","0.0000000000","0.0000000000"
"5","25269","-1227.2587415813","0.0181625249","0.1165358845","0.4001114184","551.6977570661","343.0983999035","208.5993571625","206.2792359182","276.4007348643","-70.1214989461","-76.4617193187","6.3402203726","146.3775591806","157.2910027908","-27.2678271070","-183.8802442056","156.6124170986","4.2886653141","10.3568898529","131.7320040135","0.0000000000","0.0000000000"
"6","25190","-1227.3959810078","0.0158333896","0.1323692741","0.4819283404","551.7795739880","343.1543429556","208.6252310325","206.3351789702","276.1293525954","-69.7941736252","-76.1373304410","6.3431568158","146.5084177959","156.8452370387","-27.2243022392","-183.7638495845","156.5395473453","4.2935791774","10.3736018590","131.8412367594","0.0000000000","0.0000000000"
"7","22439","-1227.4297381074","0.0153078210","0.1476770951","0.5020530382","551.7996986858","343.1706007719","208.6290979140","206.3514367865","276.0744035824","-69.7229667958","-76.0525861127","6.3296193168","146.4625270675","156.8343954854","-27.2225189705","-183.8033796304","156.5808606599","4.2927409044","10.3732943793","131.7964917838","0.0000000000","0.0000000000"
"8","23096","-1227.4767734574","0.0146044828","0.1622815779","0.5300937234","551.8277393711","343.2144898367","208.6132495343","206.3953258514","278.6904239667","-72.2950981153","-78.6101906234","6.3150925082","147.3929953911","158.7687886403","-27.4713600647","-183.4302001678","155.9588401031","4.2696750309","10.1947466482","132.9285737120","0.0000000000","0.0000000000"
"9","20374","-1227.5607561360","0.0134280506","0.1757096285","0.5801609996","551.8778066472","343.2890029839","208.5888036633","206.4698389986","277.6202169154","-71.1503779168","-77.4736939247","6.3233160078","147.3478881090","157.6552199908","-27.3828911845","-183.3073980168","155.9245068323","4.2646274672","10.2082043217","132.8750563201","0.0000000000","0.0000000000"
"10","26764","-1227.6156629293","0.0127106351","0.1884202636","0.6128943397","551.9105399873","342.8253248144","209.0852151730","206.0061608290","275.5430173447","-69.5368565157","-75.9150207581","6.3781642424","146.6086063637","155.6499897332","-26.7155787522","-184.1680986672","157.4525199150","4.3248174975","10.3651315114","131.9186573548","0.0000000000","0.0000000000"
