" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","268.5041409144"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","12647","-1144.5777904861","0.0169848739","0.0169848739","0.0000000000","522.2817617603","363.3817687680","158.8999929922","252.4956489368","288.6677094939","-36.1720605571","-42.0768930118","5.9048324547","132.7063268729","165.2773379898","-9.3159553689","-143.6339114208","134.3179560519","4.9879167018","14.6848348577","113.0335753134","0.0000000000","0.0000000000"
"2","11457","-1144.7424041040","0.0144069332","0.0313918071","0.0981363729","522.3798981332","363.9224119733","158.4574861598","253.0362921421","290.4886428328","-37.4523506907","-43.3633291894","5.9109784987","132.9667386715","167.0435343072","-9.5216301459","-143.2349887745","133.7133586286","4.9384441765","15.1558531692","112.8724413258","0.0000000000","0.0000000000"
"3","8610","-1144.8086986910","0.0134828023","0.0448746094","0.1376586821","522.4194204424","363.8481004882","158.5713199542","252.9619806569","290.6139442923","-37.6519636354","-43.5477571007","5.8957934653","133.2793016981","166.9393587285","-9.6047161343","-143.6907757248","134.0860595905","4.9557761257","15.0705654989","113.2529600735","0.0000000000","0.0000000000"
"4","10428","-1144.8264922717","0.0132450168","0.0581196262","0.1482665376","522.4300282979","363.3391701254","159.0908581725","252.4530502941","287.1920408890","-34.7390781514","-40.5832089368","5.8441307855","132.9951946035","163.9084455749","-9.7115992894","-144.4876563543","134.7760570649","4.9504792834","14.8091067863","113.2356085338","0.0000000000","0.0000000000"
"5","11303","-1145.0926462762","0.0101499359","0.0682695621","0.3069374238","522.5886991841","363.9337072049","158.6549919792","253.0475873737","288.3999821197","-35.3523947460","-41.2150929509","5.8626982049","133.2559110077","165.0166382467","-9.8725671347","-144.1336979944","134.2611308597","4.9046005371","15.2647821646","113.0865283060","0.0000000000","0.0000000000"
"6","12784","-1145.2104330069","0.0090221319","0.0772916940","0.3771573891","522.6589191493","363.9018717999","158.7570473495","253.0157519686","288.5452163376","-35.5294643690","-41.3857333286","5.8562689596","133.5910574729","164.9234683192","-9.9693094546","-144.5914473762","134.6221379216","4.9195712120","15.1937275573","113.4777587036","0.0000000000","0.0000000000"
"7","12290","-1145.3162285000","0.0081163875","0.0854080814","0.4402286349","522.7219903951","364.5269867664","158.1950036288","253.6408669351","291.4513321863","-37.8104652512","-43.6685547329","5.8580894817","133.4887431392","167.9714331892","-10.0088441421","-143.0757769456","133.0669328034","4.9084049396","15.3297165341","113.2506216654","0.0000000000","0.0000000000"
"8","11348","-1145.3583718389","0.0077814432","0.0931895247","0.4653528894","522.7471146496","363.9217341039","158.8253805457","253.0356142727","293.0816040701","-40.0459897974","-45.9495674791","5.9035776817","132.5178003838","169.8910050321","-9.3272013458","-144.0701071273","134.7429057815","5.0342130002","14.9180110459","112.5655763377","0.0000000000","0.0000000000"
"9","9766","-1145.4052436855","0.0074251284","0.1006146531","0.4932961001","522.7750578604","364.0257091066","158.7493487538","253.1395892753","293.4183706946","-40.2792439203","-46.1926025804","5.9133586602","132.2377008190","170.4153878106","-9.2347179350","-143.6902106167","134.4554926817","5.0183291231","15.0428035815","112.1765681145","0.0000000000","0.0000000000"
"10","11392","-1145.4254062297","0.0072769181","0.1078915712","0.5053162415","522.7870780017","364.6184494302","158.1686285715","253.7323295990","292.5450240496","-38.8126944506","-44.6825735574","5.8698791069","133.4366736497","169.1580632855","-10.0497128856","-142.9726246628","132.9229117772","4.8994304972","15.3496766023","113.1875665502","0.0000000000","0.0000000000"
