" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","34.3251594295"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","236","-85.0123051357","0.3623925630","0.3623925630","0.0000000000","30.2177468424","15.5472041121","14.6705427303","3.0278034860","5.8937594063","-2.8659559203","-4.6071772953","1.7412213750","13.7803102949","-8.5181702826","0.6316193940","-3.3019015207","3.9335209146","0.0538645300","4.0305736630","9.6958721019","0.0000000000","0.0000000000"
"2","114","-85.0414080500","0.3519978748","0.7143904379","0.0173500497","30.2350968921","15.5634943483","14.6716025438","3.0440937222","5.8937081942","-2.8496144720","-4.5924511301","1.7428366582","13.7803257257","-8.5182458538","0.6316283223","-3.3018832941","3.9335116165","0.0538704667","4.0307768617","9.6956783973","0.0000000000","0.0000000000"
"3","20","-85.2504074774","0.2856095621","1.0000000000","0.1419475527","30.3596943951","15.0468822191","15.3128121759","2.5274815930","4.5082805844","-1.9807992340","-3.7124229382","1.7316237042","14.7054918324","-10.6874194760","0.4902082280","-3.7446318633","4.2348400913","0.0675307726","3.9014062916","10.7365547682","0.0000000000","0.0000000000"
