" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","41.6876527883"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","1132","-121.1336556530","0.0758276383","0.0758276383","0.0000000000","47.3626827622","20.6942314204","26.6684513418","2.8093733831","4.5303802250","-1.7210068418","-3.7227196578","2.0017128160","12.2236596662","-9.7548226094","2.0615431681","-9.1955489894","11.2570921575","0.2162406003","2.7542382044","9.2531808615","0.0000000000","0.0000000000"
"2","561","-121.1740278866","0.0728272803","0.1486549186","0.0240683889","47.3867511511","20.7181791250","26.6685720260","2.8333210877","4.5303816950","-1.6970606073","-3.6987724392","2.0017118319","12.2237736683","-9.7548296456","2.0614376723","-9.1953985840","11.2568362563","0.2162317701","2.7542913797","9.2532505186","0.0000000000","0.0000000000"
"3","1237","-121.3132346525","0.0633632378","0.2120181564","0.1070581638","47.4697409259","20.4564670433","27.0132738827","2.5716090060","3.9218152222","-1.3501453818","-3.3447554676","1.9946100858","12.5708201333","-10.5806394028","1.9316344917","-10.4827005301","12.4143350218","0.2678946587","3.7281233988","8.5748020758","0.0000000000","0.0000000000"
"4","122","-121.3603676449","0.0604460273","0.2724641837","0.1351570597","47.4978398219","20.4845751282","27.0132646937","2.5997170909","3.9218060117","-1.3220812851","-3.3016660164","1.9795847312","12.5707709530","-10.5805546549","1.9315897137","-10.4826743852","12.4142640989","0.2679052527","3.7281771428","8.5746885575","0.0000000000","0.0000000000"
"5","517","-121.5781656123","0.0486160094","0.3210801931","0.2649999173","47.6276826795","20.9702670886","26.6574155909","3.0854090513","5.4333546659","-2.3479456147","-4.3574828763","2.0095372617","11.9027809602","-8.7192743484","2.2498480541","-8.9255605890","11.1754086431","0.2228091655","2.4712907766","9.2086810181","0.0000000000","0.0000000000"
"6","810","-121.6214969846","0.0465543998","0.3676345928","0.2908324320","47.6535151942","20.9962721019","26.6572430923","3.1114140646","5.4333211186","-2.3219070541","-4.3481781949","2.0262711408","11.9027726904","-8.7193499006","2.2498983289","-8.9256053616","11.1755036905","0.2228020976","2.4711141917","9.2088564011","0.0000000000","0.0000000000"
"7","1328","-121.6362832592","0.0458710978","0.4135056906","0.2996474461","47.6623302083","20.9992198711","26.6631103371","3.1143618338","5.4112832817","-2.2969214478","-4.2998190319","2.0028975841","11.9086369293","-8.7332650397","2.2359113920","-8.9361586019","11.1720699939","0.2232781449","2.4573995993","9.2279591852","0.0000000000","0.0000000000"
"8","775","-121.6655831019","0.0445465807","0.4580522713","0.3171148970","47.6797976592","21.0167818548","26.6630158044","3.1319238175","5.4112922236","-2.2793684061","-4.3003637682","2.0209953621","11.9085972531","-8.7332362293","2.2359311998","-8.9361583114","11.1720895112","0.2232727554","2.4573972472","9.2279272505","0.0000000000","0.0000000000"
"9","485","-121.6816643408","0.0438359457","0.5018882171","0.3267019195","47.6893846817","21.0169899636","26.6723947181","3.1321319263","5.4056625745","-2.2735306482","-4.2899283085","2.0163976604","12.0107448219","-8.8633802906","2.2582980432","-8.9441462075","11.2024442507","0.2239123384","2.4190440056","9.3677884778","0.0000000000","0.0000000000"
"10","1257","-121.7002395971","0.0430291978","0.5449174149","0.3377757802","47.7004585424","21.0281602302","26.6722983121","3.1433021930","5.4056881672","-2.2623859742","-4.2703745362","2.0079885620","12.0108239624","-8.8633383153","2.2582025202","-8.9440725469","11.2022750671","0.2239046278","2.4191300563","9.3677892782","0.0000000000","0.0000000000"
"11","1095","-121.7060245985","0.0427809924","0.5876984073","0.3412245779","47.7039073400","21.0556352471","26.6482720929","3.1707772098","5.4828782387","-2.3121010289","-4.3164774334","2.0043764045","12.0186895459","-8.7875509303","2.2517396231","-8.9335680952","11.1853077183","0.2225380981","2.4286537828","9.3674976651","0.0000000000","0.0000000000"
"12","988","-121.7582305437","0.0406048678","0.6283032751","0.3723477751","47.7350305373","21.1077048607","26.6273256766","3.2228468234","5.2328299292","-2.0099831058","-4.0243547832","2.0143716773","12.2744924466","-9.2329213684","2.1912588510","-8.9517416415","11.1430004925","0.2174724623","2.5135695006","9.5434504838","0.0000000000","0.0000000000"
"13","222","-121.8102654981","0.0385460258","0.6668493009","0.4033690342","47.7660517964","21.1329904347","26.6330613617","3.2481323974","5.3359807047","-2.0878483073","-4.0976276840","2.0097793767","12.3897279637","-9.2697566388","2.2160093798","-8.9671730029","11.1831823827","0.2182487790","2.4266434866","9.7448356981","0.0000000000","0.0000000000"
"14","1290","-121.8384497641","0.0374748011","0.7043241020","0.4201714208","47.7828541830","21.0659286458","26.7169255372","3.1810706085","4.7007101555","-1.5196395470","-3.5225941866","2.0029546395","12.5862918819","-9.9992714822","2.1136897559","-9.7904025339","11.9040922898","0.2565701324","3.3492924262","8.9804293233","0.0000000000","0.0000000000"
"15","943","-121.8498380683","0.0370504476","0.7413745496","0.4269606943","47.7896434564","21.1384798846","26.6511635718","3.2536218473","5.6508148892","-2.3971930419","-4.4067140365","2.0095209946","11.8113542051","-8.3081391573","2.1475998414","-9.1438062624","11.2914061039","0.2249372239","2.6455683944","8.9408485868","0.0000000000","0.0000000000"
"16","330","-121.9016530139","0.0351795690","0.7765541186","0.4578507924","47.8205335546","21.1691747402","26.6513588144","3.2843167029","5.6508071405","-2.3664904376","-4.3731285791","2.0066381415","11.8114182095","-8.3081999710","2.1475889020","-9.1438640014","11.2914529034","0.2249311484","2.6455999928","8.9408870684","0.0000000000","0.0000000000"
"17","871","-121.9315088772","0.0341447767","0.8106988953","0.4756497217","47.8383324839","21.1566281600","26.6817043238","3.2717701227","5.6785010035","-2.4067308807","-4.4195763829","2.0128455021","11.8069196954","-8.2778288983","2.1494102065","-9.1140256976","11.2634359041","0.2239640690","2.6489401500","8.9340154764","0.0000000000","0.0000000000"
"18","846","-121.9409977645","0.0338223131","0.8445212084","0.4813066351","47.8439893973","21.1622368947","26.6817525026","3.2773788574","5.6784913164","-2.4011124591","-4.4156655017","2.0145530426","11.8068017731","-8.2778244698","2.1495140132","-9.1141607620","11.2636747752","0.2239728327","2.6487419550","8.9340869853","0.0000000000","0.0000000000"
"19","272","-122.1320615248","0.0279399336","0.8724611420","0.5952115760","47.9578943382","21.3871252596","26.5707690786","3.5022672223","5.8643926147","-2.3621253924","-4.3664257917","2.0043003994","12.3284376218","-8.5323034946","2.0682584876","-8.8660759272","10.9343344148","0.2151872445","2.5650060789","9.5482442983","0.0000000000","0.0000000000"
"20","613","-122.1726070753","0.0268297521","0.8992908941","0.6193832898","47.9820660520","21.4260620307","26.5560040213","3.5412039934","5.4908219156","-1.9496179222","-3.9498246620","2.0002067397","12.6800856762","-9.2152586987","2.0259949382","-8.8977422594","10.9237371976","0.2109439747","2.5868067625","9.8823349389","0.0000000000","0.0000000000"
"21","1339","-122.2032523744","0.0260200170","0.9253109111","0.6376528506","48.0003356128","21.4293446585","26.5709909543","3.5444866212","5.8644108836","-2.3199242624","-4.3342383024","2.0143140399","12.3284256038","-8.5322797418","2.0682650216","-8.8660643353","10.9343293568","0.2151876985","2.5650192463","9.5482186590","0.0000000000","0.0000000000"
"22","199","-122.5031675919","0.0192777370","0.9445886481","0.8164508869","48.1791336491","21.1563264647","27.0228071844","3.2714684274","4.5727375373","-1.3012691099","-3.2810051776","1.9797360676","12.6966509690","-10.3577596196","2.2338461880","-10.2247241209","12.4585703089","0.2809069881","3.7859457699","8.6297982109","0.0000000000","0.0000000000"
"23","1352","-122.6055387094","0.0174019069","0.9619905550","0.8774806504","48.2401634126","21.2172642743","27.0228991383","3.3324062370","4.5727156293","-1.2403093923","-3.2337464178","1.9934370256","12.6965811821","-10.3578737447","2.2340081919","-10.2248346071","12.4588427990","0.2809209432","3.7859175953","8.6297426436","0.0000000000","0.0000000000"
"24","1050","-123.3752309905","0.0080597901","0.9700503451","1.3363418897","48.6990246519","21.9967210474","26.7023036045","4.1118630101","6.3734425266","-2.2615795164","-4.2607257408","1.9991462244","12.0927407609","-8.0583315551","2.3390333207","-9.6830743330","12.0221076538","0.2678225077","3.0051147688","8.8198034844","0.0000000000","0.0000000000"
"25","858","-123.4120724129","0.0077682591","0.9778186042","1.3583053433","48.7209881055","22.0186824996","26.7023056059","4.1338244623","6.3733616750","-2.2395372127","-4.2541419556","2.0146047429","12.0928701119","-8.0584858314","2.3389773945","-9.6830777192","12.0220551137","0.2678295824","3.0051377309","8.8199027986","0.0000000000","0.0000000000"
"26","919","-124.1764836066","0.0036169636","0.9814355678","1.8140181994","49.1767009616","22.5035174725","26.6731834891","4.6186594352","6.6561257204","-2.0374662852","-4.0354354442","1.9979691590","12.2364661036","-7.5456800154","1.9653396322","-10.1352019731","12.1005416052","0.2610230543","3.5892267508","8.3862162984","0.0000000000","0.0000000000"
"27","492","-124.2276679145","0.0034364899","0.9848720578","1.8445323354","49.2072150976","22.5328524608","26.6743626368","4.6479944235","6.6557452888","-2.0077508653","-3.9983393192","1.9905884539","12.2373372325","-7.5468030236","1.9652110799","-10.1352371823","12.1004482623","0.2610152156","3.5893198282","8.3870021887","0.0000000000","0.0000000000"
"28","1294","-124.3302485924","0.0031014505","0.9879735083","1.9056870308","49.2683697930","22.6270481102","26.6413216828","4.7421900729","6.8971631822","-2.1549731093","-4.1397198889","1.9847467796","12.3668392776","-7.7453718975","2.2756958021","-9.8275952792","12.1032910813","0.2807235489","3.4600801344","8.6260355943","0.0000000000","0.0000000000"
"29","663","-124.3839875543","0.0029391809","0.9909126892","1.9377241543","49.3004069165","22.6587293425","26.6416775740","4.7738713052","6.8970876849","-2.1232163797","-4.1210697230","1.9978533432","12.3666557436","-7.7454956809","2.2759276222","-9.8278813037","12.1038089259","0.2807329866","3.4597530310","8.6261697261","0.0000000000","0.0000000000"
"30","1038","-124.9075888118","0.0017411219","0.9926538111","2.2498752929","49.6125580551","22.8766214865","26.7359365686","4.9917634492","7.1146093258","-2.1228458766","-4.1134405787","1.9905947021","12.1462084264","-6.9599304756","1.9283313750","-10.0643670454","11.9926984204","0.2598874410","3.6261804655","8.2601405199","0.0000000000","0.0000000000"
"31","258","-124.9884293434","0.0016059077","0.9942597189","2.2980693406","49.6607521028","22.9247790634","26.7359730394","5.0399210261","7.1145444171","-2.0746233910","-4.0713357821","1.9967123911","12.1460935356","-6.9600438446","1.9284947261","-10.0644993929","11.9929941190","0.2598935332","3.6259438892","8.2602561132","0.0000000000","0.0000000000"
"32","138","-125.1218728982","0.0014052927","0.9956650115","2.3776233084","49.7403060706","23.1131406568","26.6271654138","5.2282826195","7.4819925360","-2.2537099165","-4.2482988765","1.9945889600","12.3087783318","-7.0843114307","2.2575256349","-9.7704569626","12.0279825975","0.2835377663","3.4908410793","8.5343994862","0.0000000000","0.0000000000"
"33","277","-125.1603191931","0.0013522898","0.9970173014","2.4005435260","49.7632262882","23.1364386973","26.6267875908","5.2515806601","7.4819846397","-2.2304039797","-4.2199060945","1.9895021148","12.3089694994","-7.0844524221","2.2574675624","-9.7703415175","12.0278090798","0.2835372306","3.4909262112","8.5345060576","0.0000000000","0.0000000000"
"34","951","-125.9153210914","0.0006355894","0.9976528907","2.8506469183","50.2133296804","23.5861426073","26.6271870731","5.7012845700","7.2083171303","-1.5070325603","-3.4978139096","1.9907813493","13.6291259706","-9.9156277577","3.4948189174","-10.5132975395","14.0081164569","0.4314137071","3.7224116441","9.4753006194","0.0000000000","0.0000000000"
"35","615","-125.9256171354","0.0006290789","0.9982819696","2.8567850278","50.2194677900","23.5930965059","26.6263712841","5.7082384686","7.2083844321","-1.5001317809","-3.4895918822","1.9894601013","13.6290747101","-9.9154964408","3.4948061629","-10.5127994883","14.0076056512","0.4314037441","3.7219502455","9.4757207205","0.0000000000","0.0000000000"
