" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","30.6439127501"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","19","-58.4115349502","0.3201139067","0.3201139067","0.0000000000","16.5539993694","6.6942013311","9.8597980383","-3.1424705894","-0.1537270418","-2.9886245971","-4.5878304128","1.5992058157","6.3335120676","-7.4387046671","0.9514655577","-2.1201438711","3.0716094287","0.0645816200","0.9304009470","5.3385295006","0.0000000000","0.0000000000"
"2","68","-58.4301357769","0.3142145598","0.6343284665","0.0110891048","16.5650884742","6.7054261242","9.8596623501","-3.1312457964","-0.1536718850","-2.9775739114","-4.5787680518","1.6011941404","6.3334935695","-7.4385745129","0.9514090584","-2.1201177624","3.0715268208","0.0645725357","0.9303141252","5.3386069086","0.0000000000","0.0000000000"
"3","148","-58.9595686188","0.1850531761","0.8193816426","0.3267168121","16.8807161815","7.0615547780","9.8191614035","-2.7751171425","-0.1837109418","-2.5914062007","-4.1840446886","1.5926384879","6.8397002462","-7.9162494724","0.8928382844","-2.1668780662","3.0597163506","0.0591523167","0.9179581828","5.8625897467","0.0000000000","0.0000000000"
"4","114","-59.8648390049","0.0748415219","0.8942231645","0.8664045568","17.4204039262","7.5284693252","9.8919346010","-2.3082025953","0.0393970277","-2.3475996230","-3.9181902873","1.5705906643","7.3198198837","-8.5297856532","1.2493627972","-2.6152200494","3.8645828466","0.0556885986","0.6939325478","6.5701987374","0.0000000000","0.0000000000"
"5","20","-60.2114056180","0.0529213169","0.9471444813","1.0730143793","17.6270137488","7.7355874334","9.8914263154","-2.1010844871","0.8413921099","-2.9424765970","-4.5295787857","1.5871021887","6.7359201458","-7.2462941892","1.3517661532","-2.4995715582","3.8513377114","0.0627569709","0.6868298734","5.9863333015","0.0000000000","0.0000000000"
"6","192","-60.2126497129","0.0528555187","1.0000000000","1.0737560613","17.6277554308","7.7362967027","9.8914587281","-2.1003752178","0.8414092156","-2.9417844334","-4.5261838667","1.5843994333","6.7359271725","-7.2462788321","1.3517608753","-2.4995685534","3.8513294287","0.0627597290","0.6868457320","5.9863217115","0.0000000000","0.0000000000"
