" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","45.8345836172"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","236","-17.3222284585","0.3364678077","0.3364678077","0.0000000000","-16.9979808107","-36.5656260940","19.5676452833","-54.4504841313","5.7790561883","-60.2296411283","-62.5571725391","2.3275314108","7.1010756152","-2.0792863565","0.7572669297","-6.4960886772","7.2533556069","0.1001056404","2.2618264838","4.7385092641","0.0006342269","0.0000000000"
"2","121","-18.6760535123","0.0868929953","0.4233608030","0.8070989631","-16.1908818476","-35.8684277560","19.6775459084","-53.7532857933","6.7821469890","-60.5354327823","-62.8465427343","2.3111099520","7.6210983519","-1.7109327567","0.8719813938","-7.1884412833","8.0604226771","0.1420436969","2.5042483684","4.9741137950","0.0006924916","0.0000000000"
"3","324","-18.7859325890","0.0778511248","0.5012119277","0.8726046861","-16.1253761247","-35.8028206313","19.6774445066","-53.6876786686","6.7819792859","-60.4696579545","-62.7893529718","2.3196950173","7.6212334959","-1.7113529127","0.8720987028","-7.1881949286","8.0602936314","0.1420426520","2.5040066094","4.9744044805","0.0007797540","0.0000000000"
"4","132","-18.7943873516","0.0771956867","0.5784076144","0.8776450937","-16.1203357170","-35.7938082431","19.6734725261","-53.6786662804","7.0263783546","-60.7050446350","-63.0088564845","2.3038118495","7.6376197950","-1.4880344943","0.8767930538","-7.1653297527","8.0421228066","0.1342686903","2.5129656361","4.9898552329","0.0005302358","0.0000000000"
"5","309","-18.8498230354","0.0730327448","0.6514403592","0.9106937382","-16.0872870725","-35.7613308954","19.6740438229","-53.6461889327","7.0261111145","-60.6723000472","-62.9646300888","2.2923300415","7.6376468919","-1.4884930914","0.8769573141","-7.1653144690","8.0422717832","0.1343291856","2.5129474976","4.9897637358","0.0006064728","0.0000000000"
"6","131","-18.9346655385","0.0670920392","0.7185323984","0.9612736090","-16.0367072018","-35.7137288743","19.6770216725","-53.5985869116","6.7513749074","-60.3499618190","-62.6594599208","2.3094981018","7.6018864194","-1.7439726713","0.8934611593","-7.1103807935","8.0038419528","0.1307704555","2.4889500901","4.9815711534","0.0005947204","0.0000000000"
"7","99","-18.9927057570","0.0633088530","0.7818412515","0.9958749779","-16.0021058328","-35.6791813844","19.6770755516","-53.5640394217","6.7513350007","-60.3153744224","-62.6366740163","2.3212995939","7.6019889055","-1.7440342440","0.8933803392","-7.1103198525","8.0037001918","0.1307643408","2.4890050381","4.9816261490","0.0005933776","0.0000000000"
"8","134","-19.7431566662","0.0298915033","0.8117327548","1.4432652437","-15.5547155670","-35.4347556713","19.8800401043","-53.3196137086","7.9374191544","-61.2570328630","-63.5608634004","2.3038305373","7.3576741856","-0.0207029116","0.6004478805","-7.3632842602","7.9637321406","0.1212806191","2.4251687578","4.8107046960","0.0005201127","0.0000000000"
"9","297","-19.7768851229","0.0289001219","0.8406328766","1.4633728657","-15.5346079450","-35.4143731510","19.8797652060","-53.2992311883","7.9367331599","-61.2359643481","-63.5333558209","2.2973914727","7.3577852572","-0.0215440631","0.6004919658","-7.3629937121","7.9634856779","0.1212963252","2.4251616663","4.8108794924","0.0004477733","0.0000000000"
"10","0","-20.3542742520","0.0162234331","0.8568563097","1.8075902860","-15.1903905248","-35.2744646016","20.0840740768","-53.1593226389","6.7627311739","-59.9220538128","-62.2559232660","2.3338694532","7.6000740177","-2.1392258866","1.3018830428","-6.7863163148","8.0881993576","0.1338251353","2.7201689618","4.7460792117","0.0000007089","0.0000000000"
